anime,season,year,category,songname,artist,link,status
Gekidol: Actidol Project (Gekidol),Winter 2021,2021,Ending Theme,Kizuna (キズナ),Uno Blaqlo, ,
Gekidol: Actidol Project (Gekidol),Winter 2021,2021,Ending Theme,Seifuku DOLL (制服DOLL),Uno Blaqlo, ,
Gekidol: Actidol Project (Gekidol),Winter 2021,2021,Ending Theme,Tokyo Lonely Girl (トーキョーロンリーガール),Uno Blaqlo, ,
Gekidol: Actidol Project (Gekidol),Winter 2021,2021,Ending Theme,Dandelion Girl (ダンデライオンガール),BlowBackNotes, ,
Gekidol: Actidol Project (Gekidol),Winter 2021,2021,Ending Theme,Gekidol! (ゲキドル！),"Seria Morino (Hikaru Akao), Airi Kagami (Chihara Mochida), Mayuri Nakamura (Amina Satou), Akira Asagi (Nozomi Yamamoto), Aimi Fujita (Asami Takano), Kazuhara Yamamoto (Aya Akiyoshi)", ,
Gekkan Shoujo Nozaki-kun (Monthly Girls' Nozaki-kun),Summer 2014,2014,Opening Theme,Kimi ja Nakya Dame Mitai (君じゃなきゃダメみたい),Masayoshi Ooishi (大石昌良),https://open.spotify.com/track/4fgzmtGRCxEZngg3kNyZT6,
Gekkan Shoujo Nozaki-kun (Monthly Girls' Nozaki-kun),Summer 2014,2014,Ending Theme,Ura Omote Fortune (ウラオモテ・フォーチュン),Chiyo Sakura (CV: Ari Ozawa),https://open.spotify.com/track/3CnkJahmiC2Wls7XeKULXi,
Genjitsu Shugi Yuusha no Oukoku Saikenki,Summer 2021,2021,Opening Theme,HELLO HORIZON,Inori Minase,https://open.spotify.com/track/2lQmoRbCLpvWA2vt0Lnh41,
Genjitsu Shugi Yuusha no Oukoku Saikenki,Summer 2021,2021,Ending Theme,Kazanear (カザニア),Aimi,https://open.spotify.com/track/2DwutGldROy1YEUZCHb5bj,
Gibiate,Summer 2020,2020,Opening Theme,GIBIATE,Yoshida Brothers feat SUGIZO,https://open.spotify.com/track/1jJKptNrByFvupjHfLH5Gl,
Gibiate,Summer 2020,2020,Ending Theme,ENDLESS ~Toki wo Koete~ (ENDLESS～時を超えて～),ENDLESS, ,
Given,Summer 2019,2019,Opening Theme,Kizuato (キヅアト),Centimilimental (センチミリメンタル),https://open.spotify.com/track/1fYOMkDlytS5iI3zISW0we,
Given,Summer 2019,2019,Ending Theme,Marutsuke - Piano ver. (まるつけ -Piano ver.-),Centimillimental,https://open.spotify.com/track/4qn0u2u7iprflVliZMRVIO,
Given,Summer 2019,2019,Ending Theme,Marutsuke (まるつけ),Given [Mafuyu Satou (Shougo Yano),https://open.spotify.com/track/6I4XVa47mfQ9MapC0ThmkO,
Given Movie,,1900,Ending Theme,Bokura dake no Shudaika (僕らだけの主題歌),Centimilimental (センチミリメンタル),https://open.spotify.com/track/0wS1jLwkJkGyMvzyJW5XMy,
Glasslip,Summer 2014,2014,Opening Theme,Natsu no Hi to Kimi no Koe (夏の日と君の声),ChouCho,https://open.spotify.com/track/6a0LA7WcQCcqwiyJCt7859,
Glasslip,Summer 2014,2014,Ending Theme,Toumei na Sekai (透明な世界),nano.RIPE,https://open.spotify.com/track/4IXpvHckPiFw5slymZ5Gej,
Glasslip,Summer 2014,2014,Ending Theme,Natsu no Hi to Kimi no Koe (夏の日と君の声),ChouCho,https://open.spotify.com/track/6a0LA7WcQCcqwiyJCt7859,
Gleipnir,Spring 2020,2020,Opening Theme,Altern-ate-,H-el-ical//,https://open.spotify.com/track/6IJJ8gIHQduNLbCIfvdSbF,
Gleipnir,Spring 2020,2020,Ending Theme,Ame to Taieki to Nioi (雨と体液と匂い),Mili,https://open.spotify.com/track/1ouz5gvh7XQm0Ryj7OwKZ1,
Goblin Slayer,Fall 2018,2018,Opening Theme,Rightfully,Mili,https://open.spotify.com/track/1SGRo6M1h1vUlUQyM0yF8U,
Goblin Slayer,Fall 2018,2018,Ending Theme,Gin no Kisei (銀の祈誓),Soraru,https://open.spotify.com/track/3CrGUiQaHX1ikHWuWjWuzo,
Goblin Slayer,Fall 2018,2018,Ending Theme,Though Our Paths May Diverge,Mili,https://open.spotify.com/track/0B7xHiIth1ecYATuFbha1R,
Goblin Slayer,Fall 2018,2018,Ending Theme,Within,Mili,https://open.spotify.com/track/3ke8a2kjks4dJzPGN15nOS,
Goblin Slayer: Bouken Kiroku Youshi,,1900,Opening Theme,Rightfully,Mili,https://open.spotify.com/track/1SGRo6M1h1vUlUQyM0yF8U,
Goblin Slayer: Bouken Kiroku Youshi,,1900,Ending Theme,Gin no Kisei (銀の祈誓),Soraru,https://open.spotify.com/track/3CrGUiQaHX1ikHWuWjWuzo,
Goblin Slayer: Goblin's Crown,,1900,Ending Theme,Static,Mili,https://open.spotify.com/track/1m66e4X9MOiLKNQZwYS9Qy,
Godzilla: S.P (Godzilla Singular Point),Spring 2021,2021,Opening Theme,in case...,BiSH,https://open.spotify.com/track/0m6gd9kYPfF9hGlRQ1COeB,
Godzilla: S.P (Godzilla Singular Point),Spring 2021,2021,Ending Theme,Aoi (青い),POLKADOT STINGRAY,https://open.spotify.com/track/6zY1qStXzwVqWC4UVxvENW,
Gokukoku no Brynhildr (Brynhildr in the Darkness),Spring 2014,2014,Opening Theme,BRYNHILDR IN THE DARKNESS -Ver. EJECTED-,Nao Tokisawa (鴇沢 直), ,
Gokukoku no Brynhildr (Brynhildr in the Darkness),Spring 2014,2014,Opening Theme,Virtue and Vice,"Fear, and loathing in Las Vegas",https://open.spotify.com/track/5gL1EcFRvNFvyVnkJasNbE,
Gokukoku no Brynhildr (Brynhildr in the Darkness),Spring 2014,2014,Ending Theme,Ichibanboshi (いちばん星),"Neko Kuroha (Risa Taneda), Kana Tachibana (Aya Suzaki), Kazumi Schlierenzauer (M.A.O), Kotori Takatori (Azusa Tadokoro)", ,
Gokukoku no Brynhildr: Kara Sawagi,,1900,Opening Theme,BRYNHILDR IN THE DARKNESS -Ver. EJECTED-,Nao Tokisawa (鴇沢 直), ,
Gokukoku no Brynhildr: Kara Sawagi,,1900,Ending Theme,Ichiban Boshi (いちばん星),"Neko Kuroha (CV: Risa Taneda), Kana Tachibana (CV: Aya Suzaki), Kazumi Schlierenzauer (CV: MAO), Kotori Takatori (CV: Azusa Tadokoro)", ,
Gokushufudou (The Way of the Househusband),,1900,Opening Theme,Shufu no Michi (シュフノミチ),Uchikubi Gokumon Doukoukai (打首獄門同好会),https://open.spotify.com/track/15p6K4jwZyLt66o2agB7bI,
Gokushufudou (The Way of the Househusband),,1900,Ending Theme,Goku・Fufukaidou (極・夫婦街道),Uchikubi Gokumon Doukoukai (打首獄門同好会),https://open.spotify.com/track/55YmPgLRRqMktFTOBtWT4x,
Golden Time,Fall 2013,2013,Opening Theme,Golden Time,Yui Horie,https://open.spotify.com/track/3RptL5H0xVCu0UOvQwVnit,
Golden Time,Fall 2013,2013,Opening Theme,The♡World's♡End,Yui Horie,https://open.spotify.com/track/1q0hYmsjjXnDOV5EXZmBUL,
Golden Time,Fall 2013,2013,Ending Theme,Sweet & Sweet CHERRY,Yui Horie,https://open.spotify.com/track/39p9VflB92KhgJD6TdTvof,
Golden Time,Fall 2013,2013,Ending Theme,Hanneikyuuteki ni Aishite yo♡ (半永久的に愛してよ♡),Yui Horie,https://open.spotify.com/track/5CyM9m4CTPJrwdAdMrMK0O,
Golden Time,Fall 2013,2013,Ending Theme,Golden Time,Yui Horie,https://open.spotify.com/track/3RptL5H0xVCu0UOvQwVnit,
Gosick,Winter 2011,2011,Opening Theme,Destin Histoire,yoshiki*lisa (吉木りさ),https://open.spotify.com/track/3qaywuuaEBUWdowIerY0J7,
Gosick,Winter 2011,2011,Ending Theme,Resuscitated Hope,Lisa Komine, ,
Gosick,Winter 2011,2011,Ending Theme,unity,Lisa Komine, ,
Granbelm,Summer 2019,2019,Opening Theme,Tsuki wo Ou Mayonaka (月を追う真夜中),Eir Aoi,https://open.spotify.com/track/44nPRe9D8i3BJiTcxYyfp3,
Granbelm,Summer 2019,2019,Ending Theme,Negai (願い),Uru,https://open.spotify.com/track/3Y3daHzbI3BRxsx0yvGdNz,
Granbelm,Summer 2019,2019,Ending Theme,Scenery,Uru,https://open.spotify.com/track/3jbMzduoawCvNSv0Qum7PN,
Grancrest Senki (Record of Grancrest War),Winter 2018,2018,Opening Theme,starry,Mashiro Ayano,https://open.spotify.com/track/0bXCBPRQnjIUW1vG5WeGwT,
Grancrest Senki (Record of Grancrest War),Winter 2018,2018,Opening Theme,Rin (凛),ASCA,https://open.spotify.com/track/5KeZzt4mImRvIo4TCRQxqm,
Grancrest Senki (Record of Grancrest War),Winter 2018,2018,Ending Theme,PLEDGE,ASCA,https://open.spotify.com/track/1FBjEF5OtAruyR522MTAxr,
Grancrest Senki (Record of Grancrest War),Winter 2018,2018,Ending Theme,Shoudou (衝動),Mashiro Ayano,https://open.spotify.com/track/07ST3nTysmOzJhkW2qKX2M,
Grand Blue (Grand Blue Dreaming),Summer 2018,2018,Opening Theme,Grand Blue,Shounan no Kaze,https://open.spotify.com/track/2xZyd4VDrWOz2bHZRvt5Xu,
Grand Blue (Grand Blue Dreaming),Summer 2018,2018,Ending Theme,Konpeki no Alfine ~Nikenme ni Karaoke ni Haitta Oretachi no Tension Super MAX ver.~ (紺碧のアル・フィーネ ～二軒目にカラオケに入った俺たちのテンションスーパーMAXver.～),Izu no Kaze (伊豆乃風) [Iori Kitahar,https://open.spotify.com/track/4qmU2SbBS2lBHhAzXJq1Ft,
Grand Blue (Grand Blue Dreaming),Summer 2018,2018,Ending Theme,Konpeki no Alpine ~Kaya Mizuki ver.~,Kaya Mizuki, ,
Great Pretender,Summer 2020,2020,Opening Theme,G.P.,Yutaka Yamada,https://open.spotify.com/track/0QUW4OREPB09dHwGRGfiGF,
Great Pretender,Summer 2020,2020,Ending Theme,The Great Pretender,Freddie Mercury,https://open.spotify.com/track/4xm2RpQtpFVlPlO1v4BrBr,
Guilty Crown,Fall 2011,2011,Opening Theme,Euterpe,EGOIST; produced,https://open.spotify.com/track/6Nn8ICNjGU9Phg3TbZZs1L,
Guilty Crown,Fall 2011,2011,Opening Theme,My Dearest,supercell; performed,https://open.spotify.com/track/5HhYHpxwdGTCO5YK7dycoT,
Guilty Crown,Fall 2011,2011,Opening Theme,The Everlasting Guilty Crown,EGOIST; produced,https://open.spotify.com/track/6RTNGOolCm3n6OIC8jOj58,
Guilty Crown,Fall 2011,2011,Ending Theme,Departures ~Anata ni Okuru Ai no Uta~ (Departures ~あなたにおくるアイの歌~),EGOIST; produced,https://open.spotify.com/track/3OhpsmXiZw358hqTKgmaww,
Guilty Crown,Fall 2011,2011,Ending Theme,Kokuhaku (告白),supercell; performed,https://open.spotify.com/track/6HKa0oFjsPBfohTBFkPy84,
Guilty Crown: Lost Christmas,,1900,Ending Theme,Planetes,EGOIST; produced,https://open.spotify.com/track/1GUnIBiLhgEwSQJzGNuUrk,
Gunjou no Magmell (Ultramarine Magmell),Spring 2019,2019,Opening Theme,Dash&Daaash!!,Fudanjuku (風男塾),https://open.spotify.com/track/7vzWPRAvoEbpagmotWJWm3,
Gunjou no Magmell (Ultramarine Magmell),Spring 2019,2019,Ending Theme,The Key,a flood of circle,https://open.spotify.com/track/12WfbUv9lv5HtyUdXqb7WH,
Gyo (GYO: Tokyo Fish Attack!),,1900,Ending Theme,End Theme,Nami Nakagawa (中川奈美), ,
Gyokou no Nikuko-chan (Fortune Favors Lady Nikuko),,1900,Opening Theme,Image no Uta (イメージの詩),Kurumi Inagaki (稲垣来泉),https://open.spotify.com/track/0v5Eip6KvsgtkSSl6GC32g,
Gyokou no Nikuko-chan (Fortune Favors Lady Nikuko),,1900,Ending Theme,Taketen (たけてん),GReeeeN,https://open.spotify.com/track/2ScPlHiBykNQEvJ511R1HI,
"Hachi-nan tte, Sore wa Nai deshou!",Spring 2020,2020,Opening Theme,Jikuu no Mayoi Hito (時空の迷い人),Demon Kakka and Arika Takarano (ALI PROJECT),https://open.spotify.com/track/6176ZiO8qAaXJ5uarXk9i5,
"Hachi-nan tte, Sore wa Nai deshou!",Spring 2020,2020,Ending Theme,Tsukiagari no Monologue (月明かりのMonologue),AKINO arai and AKINO from bless4,https://open.spotify.com/track/2oZCUvyJweCFKkLmUk7law,
Hai to Gensou no Grimgar (Grimgar: Ashes and Illusions),Winter 2016,2016,Opening Theme,Knew day,(K)NoW_NAME,https://open.spotify.com/track/0jD9vgDvsn9rkDmZpu06PT,
Hai to Gensou no Grimgar (Grimgar: Ashes and Illusions),Winter 2016,2016,Ending Theme,Knew day,(K)NoW_NAME,https://open.spotify.com/track/0jD9vgDvsn9rkDmZpu06PT,
Hai to Gensou no Grimgar (Grimgar: Ashes and Illusions),Winter 2016,2016,Ending Theme,Harvest,(K)NoW_NAME,https://open.spotify.com/track/6KOi28b98YkZNMgFkb4QO3,
Hai to Gensou no Grimgar (Grimgar: Ashes and Illusions),Winter 2016,2016,Ending Theme,Harvest,Shihoru (Haruka Terui),https://open.spotify.com/track/72IvHWzN9wiHQcZKIjNURE,
Hai to Gensou no Grimgar (Grimgar: Ashes and Illusions),Winter 2016,2016,Ending Theme,Cultivate,(K)NoW_NAME,https://open.spotify.com/track/5Hu1N7iBqMt9ig24RWsbkg,
Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun,,1900,Opening Theme,Knew day,(K)NoW_NAME,https://open.spotify.com/track/6KOi28b98YkZNMgFkb4QO3,
Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun,,1900,Ending Theme,Harvest,(K)NoW_NAME,https://open.spotify.com/track/0jD9vgDvsn9rkDmZpu06PT,
Hajimete no Gal (My First Girlfriend is a Gal),Summer 2017,2017,Opening Theme,Hajimete no SEASON (はじめてのSEASON),Junjou no Afilia (純情のアフィリア),https://open.spotify.com/track/4YkyCjBadBfqeiusuz4KCr,
Hajimete no Gal (My First Girlfriend is a Gal),Summer 2017,2017,Ending Theme,GAL-tic Love (GAL的LOVE（ギャルチックラブ）),Erabareshi (エラバレシ),https://open.spotify.com/track/1FEMelte5xIjLIHZNXUrK2,
Hajimete no Gal: Hajimete no Bunkasai,,1900,Opening Theme,Hajimete no SEASON (はじめてのSEASON),Junjou no Afilia (純情のアフィリア),https://open.spotify.com/track/4YkyCjBadBfqeiusuz4KCr,
Hajimete no Gal: Hajimete no Bunkasai,,1900,Ending Theme,GAL-tic Love (GAL的LOVE（ギャルチックラブ）),Erabareshi (エラバレシ),https://open.spotify.com/track/77f1ZBEtwkqkHFmCS2Ob16,
Hakubo (Twilight),,1900,Ending Theme,Tooku (とおく),AZUMA HITOMI, ,
Hametsu no Mars (Mars of Destruction),,1900,Opening Theme,Valkyrie Kikou,Richard Wagner, ,
Hana yori Dango (Movie) (Hana Yori Dango The Movie),,1900,Ending Theme,Futsuu no nichiyoubi ni,Kikuta Tomohiko, ,
Hand Shakers,Winter 2017,2017,Opening Theme,One Hand Message,OxT (Masayoshi Oishi x Tom-H@ck), ,
Hand Shakers,Winter 2017,2017,Ending Theme,Yume Miru Ame (ユメミル雨),Akino Arai, ,
Happy Sugar Life,Summer 2018,2018,Opening Theme,One Room Sugar Life (ワンルームシュガーライフ),Akari Nanawo (ナナヲアカリ),https://open.spotify.com/track/2jtI8cQPtIiV9u5OXESTPm,
Happy Sugar Life,Summer 2018,2018,Ending Theme,SWEET HURT,ReoNa,https://open.spotify.com/track/6HpT1pNhenYMIYY9vWgJoc,
Happy Sugar Life,Summer 2018,2018,Ending Theme,Canaria (カナリア),ReoNa,https://open.spotify.com/track/4vn0eCi3dRwGDHdyskh3Oy,
HaruChika: Haruta to Chika wa Seishun suru,Winter 2016,2016,Opening Theme,Niji wo Ametara (虹を編めたら),fhána,https://open.spotify.com/track/6HD1Nc4MMeirz4izAkq5St,
HaruChika: Haruta to Chika wa Seishun suru,Winter 2016,2016,Ending Theme,Kuusou Triangle (空想トライアングル),ChouCho,https://open.spotify.com/track/2aZsQpLneag7DxnZbnFCmN,
Hashiri Tsuzukete Yokatta tte. (I'm glad I could keep running.),Fall 2018,2018,Opening Theme,Yume Fanfare (夢ファンファーレ),LIP×LIP,https://open.spotify.com/track/1corYorswlHDf2RbnZAkMc,
Hashiri Tsuzukete Yokatta tte. (I'm glad I could keep running.),Fall 2018,2018,Ending Theme,Aikatsu Happy End (アイカツハッピーエンド),＝LOVE,https://open.spotify.com/track/2wbF4sb7IpBMQ7T6Lem10j,
Hataage! Kemono Michi (Kemono Michi: Rise Up),Fall 2019,2019,Opening Theme,Fight! Kemoner Mask (闘魂（ファイト）！ケモナーマスク),NoB with Kemoner Mask (Katsuyuki Konishi), ,
Hataage! Kemono Michi (Kemono Michi: Rise Up),Fall 2019,2019,Ending Theme,Anegdot (アネクドット),Momosu Momosu (ももすももす),https://open.spotify.com/track/2f95dlsVs75NE7XpZGFjAv,
Hataraku Maou-sama! (The Devil is a Part-Timer!),Spring 2013,2013,Opening Theme,ZERO!!,Minami Kuribayashi ,https://open.spotify.com/track/7l8CkFFxcbH09wwBzq4XWi,
Hataraku Maou-sama! (The Devil is a Part-Timer!),Spring 2013,2013,Ending Theme,Gekka (月花),nano.RIPE,https://open.spotify.com/track/0zerM0RjJHwkE4AJYpLhVk,
Hataraku Maou-sama! (The Devil is a Part-Timer!),Spring 2013,2013,Ending Theme,ZERO!!,Minami Kuribayashi ,https://open.spotify.com/track/7l8CkFFxcbH09wwBzq4XWi,
Hataraku Maou-sama! (The Devil is a Part-Timer!),Spring 2013,2013,Ending Theme,Star Chart (スターチャート),nano.RIPE,https://open.spotify.com/track/1oGHgkRdCINNjcnXtO8L4E,
Hataraku Maou-sama! (The Devil is a Part-Timer!),Spring 2013,2013,Ending Theme,Tsumabiku Hitori (ツマビクヒトリ),nano.RIPE,https://open.spotify.com/track/0kp8ZWbvp1teTlQNv05Bn6,
Hataraku Saibou (Cells at Work!),Summer 2018,2018,Opening Theme,Mission! Ken Kou Dai Ichi (ミッション！健・康・第・イチ),"Sekkekkyuu (Kana Hanazawa), Hakkekkyuu (Tomoaki Maeno), Killer T Saibou (Daisuke Ono), Macrophage (Kikuko Inoue)", ,
Hataraku Saibou (Cells at Work!),Summer 2018,2018,Ending Theme,CheerS,ClariS,https://open.spotify.com/track/6LviUINW46LCsYHvisuGuD,
Hataraku Saibou Black (Cells at Work! CODE BLACK!),Winter 2021,2021,Opening Theme,Hashire! with Seiya Yamasaki (Kyusonekokami) (走れ！ with ヤマサキセイヤ（キュウソネコカミ）),Hiroyuki Hayashi (Polysics) (ハヤシヒロユキ（POLYSICS）), ,
Hataraku Saibou Black (Cells at Work! CODE BLACK!),Winter 2021,2021,Ending Theme,Ue wo Muite Hakobou with Sekkekkyuu & Hakkekkyuu (上を向いて運ぼう with 赤血球・白血球),Hiroyuki Hayashi (Polysics) (ハヤシヒロユキ（POLYSICS）), ,
Hataraku Saibou!! (Cells at Work!!),Winter 2021,2021,Opening Theme,GO! GO! Saibou Fiesta,"Sekkekkyuu (Kana Hanazawa), Hakkekkyuu (Tomoaki Maeno), Killer T Saibou / Memory T Saibou (Daisuke Ono), Macrophage (Kikuko Inoue), Ippan Saibou (Yuusuke Kobayashi), Nyuusankin (Yuuri Yoshida)", ,
Hataraku Saibou!! (Cells at Work!!),Winter 2021,2021,Ending Theme,Fight!!,ClariS,https://open.spotify.com/track/5Vqe6O1inyJuf54FsCm5SL,
Hataraku Saibou: Kaze Shoukougun (Cells at Work Special),,1900,Opening Theme,Mission! Ken Kou Dai Ichi (ミッション！健・康・第・イチ),"Sekkekkyuu (Kana Hanazawa), Hakkekkyuu (Tomoaki Maeno), Killer T Saibou (Daisuke Ono), Macrophage (Kikuko Inoue)", ,
Hataraku Saibou: Kaze Shoukougun (Cells at Work Special),,1900,Ending Theme,CheerS,ClariS,https://open.spotify.com/track/6LviUINW46LCsYHvisuGuD,
Hatena☆Illusion (Hatena Illusion),Winter 2020,2020,Opening Theme,Magic Words,Aina Suzuki,https://open.spotify.com/track/02hWOQqzYArJaG9gwagGEA,
Heion Sedai no Idaten-tachi (The Idaten Deities Know Only Peace),Summer 2021,2021,Opening Theme,Seija no Koushin (聖者の行進),Tatsuya Kitani (キタニタツヤ),https://open.spotify.com/track/2ePjWEl8ZURXH7613eGYcu,
Heion Sedai no Idaten-tachi (The Idaten Deities Know Only Peace),Summer 2021,2021,Ending Theme,Raika (雷火),Akari Nanawo,https://open.spotify.com/track/2zl3v1u55bL64dgPZBEKL6,
Hello World,,1900,Opening Theme,Opening Theme feat. AAAMYYY (オープニングテーマ feat.AAAMYYY),"Okamoto Sho, Okamoto Kouki featuring AAAMYYY",https://open.spotify.com/track/2WtMi7wA1VRFU1mkGMcc15,
Hello World,,1900,Ending Theme,Shinsekai (新世界),OKAMOTO'S,https://open.spotify.com/track/63n8ZxWANg0xXZfZaDsWJC,
Hige wo Soru. Soshite Joshikousei wo Hirou.,Spring 2021,2021,Opening Theme,Omoide Shiritori (おもいでしりとり),DIALOGUE+, ,
Hige wo Soru. Soshite Joshikousei wo Hirou.,Spring 2021,2021,Ending Theme,Omoide Shiritori (おもいでしりとり),DIALOGUE+,https://open.spotify.com/track/21I2N3whjE3lanhe0CuJNH,
Hige wo Soru. Soshite Joshikousei wo Hirou.,Spring 2021,2021,Ending Theme,Plastic Smile,Kaori Ishihara,https://open.spotify.com/track/3y7FUgB8mwJSo37YmDouYq,
High Card,Winter 2023,2023,Opening Theme,Trickster,FIVE NEW OLD,https://open.spotify.com/track/4080qNZP4kWloqGH3ujVkp,
High Card,Winter 2023,2023,Ending Theme,Trickster,FIVE NEW OLD,https://open.spotify.com/track/4080qNZP4kWloqGH3ujVkp,
High Card,Winter 2023,2023,Ending Theme,スクワッド！,めいちゃん, ,
High Score Girl (Hi Score Girl),Summer 2018,2018,Opening Theme,New Stranger,sora tob sakana,https://open.spotify.com/track/62bGCrh41PEy1xoZ6U8t1n,
High Score Girl (Hi Score Girl),Summer 2018,2018,Ending Theme,Houkago Di(e)stra(u)ction (放課後ディストラクション),Etsuko Yakushimaru,https://open.spotify.com/track/7jCbPkdTNLbSQ9NqyYMEZA,
High Score Girl II (Hi Score Girl II),Fall 2019,2019,Opening Theme,flash,sora tob sakana,https://open.spotify.com/track/5NQnDDPMKMUonjckOHe19A,
High Score Girl II (Hi Score Girl II),Fall 2019,2019,Ending Theme,Unknown World Map (アンノウン・ワールドマップ),Etsuko Yakushimaru,https://open.spotify.com/track/1nQpWI0khDKCDJmTJCTdP6,
High Score Girl: Extra Stage (Hi Score Girl: Extra Stage),,1900,Opening Theme,New Stranger,sora tob sakana,https://open.spotify.com/track/62bGCrh41PEy1xoZ6U8t1n,
High Score Girl: Extra Stage (Hi Score Girl: Extra Stage),,1900,Ending Theme,Houkago Di(e)stra(u)ction (放課後ディストラクション),Etsuko Yakushimaru,https://open.spotify.com/track/7jCbPkdTNLbSQ9NqyYMEZA,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Opening Theme,HIGHSCHOOL OF THE DEAD,Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/254FAW8agT5ePrypOck8yA,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Kimi to Taiyou ga Shinda hi,Maon Kurosaki,https://open.spotify.com/track/1JF069PxQvH1tXV5YrvkTN,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Color Me Dark,Maon Kurosaki,https://open.spotify.com/track/6KtHYBZQd9O7TlRv6lx3IS,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Return to Destiny,Maon Kurosaki,https://open.spotify.com/track/4Bp5DaVkT4IFDzb7uDcZwz,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Cold Bullet Blues,Maon Kurosaki,https://open.spotify.com/track/26MbO2bPW8ywlrjYpbd1OD,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Memories of Days Gone By,Maon Kurosaki,https://open.spotify.com/track/7meTYpayjxWFlxMnJj2eYU,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Under The Honey Shine,Maon Kurosaki,https://open.spotify.com/track/37ZFwW4k8jdROvkrFSTNSZ,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,fuss fuzz,Maon Kurosaki,https://open.spotify.com/track/64LKou1hDovR0yrcGuZmyH,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,The place of hope,Maon Kurosaki,https://open.spotify.com/track/79ZPcxFuBeeVVmwMEQ4pSO,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Houseki no Spy,Maon Kurosaki,https://open.spotify.com/track/5xkpfbFZTyOYYHtwOVvTJV,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,THE last pain,Maon Kurosaki,https://open.spotify.com/track/7jjfiPDVhwZ9cLvjFzLtHO,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,Hollow Men,Maon Kurosaki,https://open.spotify.com/track/1Ztcw05lqPk1kRJ391gyCj,
Highschool of the Dead (High School of the Dead),Summer 2010,2010,Ending Theme,The Eternal Song,Maon Kurosaki,https://open.spotify.com/track/2CArCjAX19fSRhAXonXBix,
Highschool of the Dead: Drifters of the Dead,,1900,Opening Theme,HIGHSCHOOL OF THE DEAD,Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/254FAW8agT5ePrypOck8yA,
Highschool of the Dead: Drifters of the Dead,,1900,Ending Theme,Best friends,Maon Kurosaki,https://open.spotify.com/track/6JNaz6kCcQRSg5u4hm5pGO,
Himote House (HIMOTE HOUSE: A share house of super psychic girls),Fall 2018,2018,Opening Theme,Motetaino (モテたいのー),Himote House Juunin Ichidou (ひもてはうす住人一同), ,
Himote House (HIMOTE HOUSE: A share house of super psychic girls),Fall 2018,2018,Ending Theme,Ouchi ni Kaerou (おうちに帰ろう),Himote House Juunin Ichidou (ひもてはうす住人一同), ,
Hinamatsuri (TV) (Hinamatsuri),Spring 2018,2018,Opening Theme,Distance,Rie Murakawa,https://open.spotify.com/track/6HuGbNluW79mEhoqfgl64y,
Hinamatsuri (TV) (Hinamatsuri),Spring 2018,2018,Ending Theme,Sake to Ikura to 893 to Musume (鮭とイクラと893と娘),Yoshifumi Nitta (Yoshiki Nakajima), ,
Hinamatsuri (TV) (Hinamatsuri),Spring 2018,2018,Ending Theme,Shashinchou (写真帖),Yoko Ishida, ,
Hinamatsuri (TV) (Hinamatsuri),Spring 2018,2018,Ending Theme,Taisetsu na Hito (たいせつなひと),Chisuga Haruka, ,
Hinamatsuri (TV) (Hinamatsuri),Spring 2018,2018,Ending Theme,Hajimete no Kimochi (初めてのキモチ),Mao (Ozawa Ari), ,
Hitoribocchi no Marumaru Seikatsu,Spring 2019,2019,Opening Theme,Hitoribocchi no Monologue (ひとりぼっちのモノローグ),"Hitori Bocchi (Chisaki Morishita), Sunao Nako (Minami Tanaka), Honshou Aru (Akari Kito), Sotca Luckythar (Yuuko Kurose)", ,
Hitoribocchi no Marumaru Seikatsu,Spring 2019,2019,Ending Theme,"Ne, Issho ni Kaero. (ね、いっしょにかえろ。)","Hitori Bocchi (Chisaki Morishita), Sunao Nako (Minami Tanaka), Honshou Aru (Akari Kito), Sotca Luckythar (Yuuko Kurose)", ,
Hitoribocchi no Marumaru Seikatsu,Spring 2019,2019,Ending Theme,Bakushou Bocchi-juku Kouka (爆笑ぼっち塾 校歌),"Hitori Bocchi (Chisaki Morishita), Sunao Nako (Minami Tanaka), Aru Honshou (Akari Kito), Sotca Luckythar (Yuuko Kurose) (ep 6)", ,
