anime,season,year,category,songname,artist,link,status
5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Opening Theme,Gotoubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/4T0CHrYyqrRY4dOIyuYg4b,
5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Ending Theme,Sign,Aya Uchida,https://open.spotify.com/track/3pUeCDzHNM0yHN0FoPEadN,
5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Ending Theme,Gobun no Ichi (ごぶんのいち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/0Zj8Yt8bzFajzsOTYLFcZh,
5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Opening Theme,Gotoubun no Katachi (五等分のカタチ),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/0c0SnAvk6flplPQWkb0oIO,
5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Hatsukoi (はつこい),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/7FYUMfQhtdm5AJRfU699sB,
5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Go-toubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)", ,
5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Opening Theme,Gotoubun no Kiseki (五等分の軌跡),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)", ,
5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Ending Theme,5-toubun no Hanayome: Arigato no Hana (五等分の花嫁～ありがとうの花～),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/1fAoQLtz2mKJR29yCBRR6f,
86 (86 Eighty-Six),Spring 2021,2021,Opening Theme,3-pun 29-byou (3分29秒),hitorie,https://open.spotify.com/track/04rQMy0kPLdMyIeK5oyg1g,
86 (86 Eighty-Six),Spring 2021,2021,Ending Theme,3-pun 29-byou (3分29秒),hitorie,https://open.spotify.com/track/04rQMy0kPLdMyIeK5oyg1g,
86 (86 Eighty-Six),Spring 2021,2021,Ending Theme,Avid,SawanoHiroyuki[nZk]:mizuki,https://open.spotify.com/track/2zWT0EPiVzC7MH7yggiK5Y,
86 (86 Eighty-Six),Spring 2021,2021,Ending Theme,Hands Up to the Sky,SawanoHiroyuki[nZk]:Laco,https://open.spotify.com/track/7kiWVIA95A2H7TMYSrA0b5,
86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Opening Theme,Kyoukaisen (境界線),amazarashi,https://open.spotify.com/track/48JYYEXKNZdXuDdZvkRvaQ,
86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,LilaS,SawanoHiroyuki[nZk]:Honoka Takahashi, ,
86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,Kyoukaisen (境界線),amazarashi,https://open.spotify.com/track/48JYYEXKNZdXuDdZvkRvaQ,
