,anime,season,year,category,songname,artist,link,status
1773,Somali to Mori no Kamisama (Somali and the Forest Spirit),Winter 2020,2020,Ending Theme,Kokoro Somali (ココロソマリ),Inori Minase,https://open.spotify.com/track/7GH1EdR9CQzVIAmGIUUsnx,Downloaded
1774,"Sono Toki, Kanojo wa.",Fall 2018,2018,Ending Theme,Maji de Koi suru 5-byou Mae (MajiでKoiする5秒前) ,Mei Fukuda,https://open.spotify.com/track/2Us0bdI0Tirv1GlCTvXLyG,Downloaded
1775,Sora yori mo Tooi Basho (A Place Further Than The Universe),Winter 2018,2018,Opening Theme,The Girls Are Alright!,saya,https://www.youtube.com/watch?v=KjujhbdPoCU,
1776,Sora yori mo Tooi Basho (A Place Further Than The Universe),Winter 2018,2018,Ending Theme,"Koko kara, Koko kara (ここから、ここから)","Mari Tamaki (Inori Minase), Shirase Kobuchizawa (Kana Hanazawa), Hinata Miyake (Yuka Iguchi), Yuzuki Shiraishi (Saori Hayami)",https://open.spotify.com/track/6UpUtwbt8GRFyKSJnbVFNc,Downloaded
1777,Soukou Musume Senki (LBX Girls),Winter 2021,2021,Opening Theme,Dream hopper,Rikako Aida (逢田梨香子),https://open.spotify.com/track/6upE69Ygmge0nLrNPob1Qw,Downloaded
1778,Soukou Musume Senki (LBX Girls),Winter 2021,2021,Ending Theme,Compass Song (コンパスソング),Kano,https://open.spotify.com/track/5DLE7pZlAluA5CwscqqCNs,Downloaded
1779,Sounan desu ka_ (Are You Lost_),Summer 2019,2019,Opening Theme,Koko wa Doko (ココハドコ),Ahomushi (あほむし),https://open.spotify.com/track/6i31h6WRf1TdpRg9z335Kb,Downloaded
1780,Sounan desu ka_ (Are You Lost_),Summer 2019,2019,Ending Theme,Ikiru (生きる),Kiyono Yasuno,https://open.spotify.com/track/68YxCQxjr9RaDCXlcJ6jTi,Downloaded
1781,Special A (Special A (S.A)),Spring 2008,2008,Opening Theme,Special Days,"Hitomi Nabatame, Yuuko Gotou, Ayahi Takagaki",https://www.youtube.com/watch?v=y0DRUDCA6yM,
1782,Special A (Special A (S.A)),Spring 2008,2008,Opening Theme,Gorgeous 4U,"Jun Fukuyama, Hiro Shimono, Tsubasa Yonaga, Kazuma Horie",https://open.spotify.com/track/7zp9EvR8Kjrn29OoA0OqXk,Downloaded
1783,Special A (Special A (S.A)),Spring 2008,2008,Ending Theme,Hidamari no Gate (陽だまりのゲート),"Jun Fukuyama, Hiro Shimono, Tsubasa Yonaga, Kazuma Horie",https://www.youtube.com/watch?v=2JOs4X4Z5_c,
1784,Special A (Special A (S.A)),Spring 2008,2008,Ending Theme,Special☆Gyutto Good Luck! (スペシャル☆ギュッとGood luck!),"Yuuko Gotou, Hitomi Nabatame, Ayahi Takagaki",https://open.spotify.com/track/4HhJjBnMx6ZcRLX1y308gg,Downloaded
1785,Spy x Family,Spring 2022,2022,Opening Theme,Mixed Nuts (ミックスナッツ),Official HIGE DANdism (Official髭男dism),https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ,Downloaded
1786,Spy x Family,Spring 2022,2022,Ending Theme,Kigeki (喜劇),Gen Hoshino (星源野),https://open.spotify.com/track/6pllZAdgBf4QTcFUrF3DzL,Downloaded
1787,Spy x Family Part 2,Fall 2022,2022,Opening Theme,SOUVENIR,BUMP OF CHICKEN,https://open.spotify.com/track/7qOsSOpiL3R8RKyiBtIYNQ,
1788,Spy x Family Part 2,Fall 2022,2022,Ending Theme,Shikisai (色彩),yama,https://www.youtube.com/watch?v=E9Dru15yq9w,
1789,SSSS.Dynazenon,Spring 2021,2021,Opening Theme,Imperfect (インパーフェクト),Masayoshi Ooishi,https://open.spotify.com/track/5tm0LIpYM59MmLBIFMZoUF,Downloaded
1790,SSSS.Dynazenon,Spring 2021,2021,Ending Theme,Strobe Memory (ストロボメモリー),Maaya Uchida (内田真礼),https://open.spotify.com/track/7IKfNFNkK1tEovTOaoWrud,Downloaded
1791,SSSS.Gridman,Fall 2018,2018,Opening Theme,UNION,OxT,https://open.spotify.com/track/2Op7ZaXB0Kt5zDhetTL0ZQ,Downloaded
1792,SSSS.Gridman,Fall 2018,2018,Ending Theme,youthful beautiful,Maaya Uchida,https://open.spotify.com/track/1CNoDPlTxopkb9gDvDV9QC,Downloaded
1793,Stand My Heroes_ Piece of Truth,Fall 2019,2019,Opening Theme,"Thought I knew ft_ra'z, Hayes",YVY,https://open.spotify.com/track/49jXVAeqU0uf5taD4TNEar,Downloaded
1794,Stand My Heroes_ Piece of Truth,Fall 2019,2019,Ending Theme,Precious My Heroes,fox capture plan feat_ Issui Miyamoto (宮本一粋),https://open.spotify.com/track/7ushnMUNnxdnCYenITjTAB,Downloaded
