AnimeTitle,ID,Status
Cestvs: The Roman Fighter,43763,Completed
Chainsaw Man,44511,Watching
Charlotte,28999,Completed
Charlotte: Tsuyoimono-tachi,31553,Completed
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,40960,Completed
Chika Gentou Gekiga: Shoujo Tsubaki,2981,Plan to Watch
Chio-chan no Tsuugakuro,35821,Completed
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,39523,Completed
Choukadou Girl ⅙,38226,Completed
Chuubyou Gekihatsu Boy,38390,Completed
Cider no You ni Kotoba ga Wakiagaru,39175,Plan to Watch
Circlet Princess,38157,Dropped
Citrus,34382,Completed
ClassicaLoid,31157,Plan to Watch
Classroom☆Crisis,30383,Completed
Claymore,1818,Completed
Clockwork Planet,32407,Completed
Cocolors,34167,Completed
Colorful (Movie),8142,Completed
Comic Girls,35756,Completed
Conception,37823,Completed
Cool Doji Danshi,51680,Watching
Cop Craft,38940,Completed
Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,40405,Completed
Coppelion,9479,Completed
Curry Meshi x Zombieland Saga,40477,Completed
Cyberpunk: Edgerunners,42310,Completed
Dance Dance Danseur,48702,On-Hold
Dance with Devils,29976,Plan to Watch
Danshi Koukousei no Nichijou,11843,Completed
Danshi Koukousei no Nichijou Specials,12893,Completed
Darling in the FranXX,35849,Completed
Darwin's Game,38656,Completed
Date A Bullet: Dead or Bullet,40416,Completed
Date A Bullet: Nightmare or Queen,42423,Completed
Date A Live,15583,Completed
Date A Live II,19163,Completed
Date A Live II: Kurumi Star Festival,22961,Completed
Date A Live III,36633,Completed
Date A Live IV,41461,On-Hold
Date A Live Movie: Mayuri Judgment,24655,Completed
Date A Live: Date to Date,17641,Completed
Days,24823,Completed
Daze,24429,Completed
Deaimon,48779,On-Hold
Death Billiards,14353,Completed
Death March kara Hajimaru Isekai Kyousoukyoku,34497,Completed
Death Note,1535,Dropped
Death Parade,28223,Completed
Deatte 5-byou de Battle,43814,Completed
Deca-Dence,40056,Completed
"Deemo Movie: Sakura no Oto - Anata no Kanadeta Oto ga, Ima mo Hibiku",40722,Plan to Watch
Demi-chan wa Kataritai,33988,Completed
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,35823,Completed
Dengta,52631,Plan to Watch
Denpa Onna to Seishun Otoko,9379,Completed
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,10638,Completed
Denpa-teki na Kanojo,5177,Completed
Devils Line,35928,Completed
Devils Line: Anytime Anywhere,37997,Completed
Dies Irae,32271,Completed
Dies Irae: Reimei,36524,Completed
Dies Irae: To the Ring Reincarnation,36515,Completed
Do It Yourself!!,48542,Watching
Dogeza de Tanondemita,42571,Completed
Dogeza de Tanondemita: Isekai-hen,42990,Completed
Dokyuu Hentai HxEros,40623,Completed
Domestic na Kanojo,37982,Completed
Dorohedoro,38668,Completed
Dorohedoro: Ma no Omake,41053,Completed
Dororo,37520,Completed
Double Decker! Doug & Kirill,37496,Completed
Double Decker! Doug & Kirill: Extra,38895,Completed
Double-J,10838,Completed
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",38145,Completed
Doukyuusei (Movie),30346,Completed
Dounika Naru Hibi,40747,Completed
Dr. Stone,38691,Completed
Dr. Stone: Stone Wars,40852,Completed
Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,43555,Completed
"Dragon, Ie wo Kau.",40526,Completed
Dumbbell Nan Kilo Moteru?,39026,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,28121,Completed
