,AnimeTitle,ID,Status,URL
82,Beatless Final Stage,38020,Completed,https://myanimelist.net/anime/38020
83,Beatless Intermission,37277,Completed,https://myanimelist.net/anime/37277
84,Beelzebub-jou no Okinimesu mama.,37716,Completed,https://myanimelist.net/anime/37716
85,Bem,39221,Completed,https://myanimelist.net/anime/39221
86,Bem Movie: Become Human,42129,Completed,https://myanimelist.net/anime/42129
87,Bessatsu Olympia Kyklos,41266,Completed,https://myanimelist.net/anime/41266
88,Bible Black,368,Completed,https://myanimelist.net/anime/368
89,Bible Black: New Testament,1401,Completed,https://myanimelist.net/anime/1401
90,Birthday Wonderland,38985,Completed,https://myanimelist.net/anime/38985
91,Bishounen Tanteidan,40752,Completed,https://myanimelist.net/anime/40752
92,Black Bullet,20787,Completed,https://myanimelist.net/anime/20787
93,Black Fox,37498,Completed,https://myanimelist.net/anime/37498
94,Black Lagoon,889,Completed,https://myanimelist.net/anime/889
95,Black Lagoon Omake,8440,Completed,https://myanimelist.net/anime/8440
96,Black Lagoon: Roberta's Blood Trail,4901,Completed,https://myanimelist.net/anime/4901
97,Black Lagoon: The Second Barrage,1519,Completed,https://myanimelist.net/anime/1519
98,Blossom,13253,Completed,https://myanimelist.net/anime/13253
99,Blue Lock,49596,Watching,https://myanimelist.net/anime/49596
100,Blue Reflection Ray,47639,Completed,https://myanimelist.net/anime/47639
101,BNA,40060,Completed,https://myanimelist.net/anime/40060
102,Bocchi the Rock!,47917,Watching,https://myanimelist.net/anime/47917
103,Boku dake ga Inai Machi,31043,Completed,https://myanimelist.net/anime/31043
104,Boku dake ga Inai Machi Recaps,35815,Completed,https://myanimelist.net/anime/35815
105,Boku no Pico,1639,Completed,https://myanimelist.net/anime/1639
106,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,38302,Completed,https://myanimelist.net/anime/38302
107,Bokura no Nanokakan Sensou,37828,Completed,https://myanimelist.net/anime/37828
108,Bokura wa Minna Kawai-sou,21405,Completed,https://myanimelist.net/anime/21405
109,Bokura wa Minna Kawai-sou: Hajimete no,24913,Completed,https://myanimelist.net/anime/24913
110,Bokutachi no Remake,40904,Completed,https://myanimelist.net/anime/40904
111,Bokutachi wa Benkyou ga Dekinai,38186,Completed,https://myanimelist.net/anime/38186
112,Bokutachi wa Benkyou ga Dekinai!,40004,Completed,https://myanimelist.net/anime/40004
113,Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,42519,Completed,https://myanimelist.net/anime/42519
114,Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,39819,Completed,https://myanimelist.net/anime/39819
115,Boogiepop wa Warawanai (2019),37451,Completed,https://myanimelist.net/anime/37451
116,Breakers,40850,Completed,https://myanimelist.net/anime/40850
117,Btooom!,14345,Completed,https://myanimelist.net/anime/14345
118,Bungou to Alchemist: Shinpan no Haguruma,40934,Completed,https://myanimelist.net/anime/40934
119,Burn the Witch,41468,Completed,https://myanimelist.net/anime/41468
120,Byousoku 5 Centimeter,1689,Completed,https://myanimelist.net/anime/1689
121,Caligula (TV),36828,Completed,https://myanimelist.net/anime/36828
122,Carole & Tuesday,37435,Completed,https://myanimelist.net/anime/37435
123,Carole & Tuesday Specials,40013,Completed,https://myanimelist.net/anime/40013
124,Cencoroll,3087,Completed,https://myanimelist.net/anime/3087
125,Cencoroll Connect,9488,Completed,https://myanimelist.net/anime/9488
126,Cestvs: The Roman Fighter,43763,Completed,https://myanimelist.net/anime/43763
127,Chainsaw Man,44511,Watching,https://myanimelist.net/anime/44511
128,Charlotte,28999,Completed,https://myanimelist.net/anime/28999
129,Charlotte: Tsuyoimono-tachi,31553,Completed,https://myanimelist.net/anime/31553
130,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,40960,Completed,https://myanimelist.net/anime/40960
131,Chio-chan no Tsuugakuro,35821,Completed,https://myanimelist.net/anime/35821
132,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,39523,Completed,https://myanimelist.net/anime/39523
133,Choukadou Girl ⅙,38226,Completed,https://myanimelist.net/anime/38226
134,Chuubyou Gekihatsu Boy,38390,Completed,https://myanimelist.net/anime/38390
135,Citrus,34382,Completed,https://myanimelist.net/anime/34382
136,Classroom☆Crisis,30383,Completed,https://myanimelist.net/anime/30383
137,Claymore,1818,Completed,https://myanimelist.net/anime/1818
138,Clockwork Planet,32407,Completed,https://myanimelist.net/anime/32407
139,Cocolors,34167,Completed,https://myanimelist.net/anime/34167
140,Colorful (Movie),8142,Completed,https://myanimelist.net/anime/8142
141,Comic Girls,35756,Completed,https://myanimelist.net/anime/35756
142,Conception,37823,Completed,https://myanimelist.net/anime/37823
143,Cool Doji Danshi,51680,Watching,https://myanimelist.net/anime/51680
144,Cop Craft,38940,Completed,https://myanimelist.net/anime/38940
145,Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,40405,Completed,https://myanimelist.net/anime/40405
146,Coppelion,9479,Completed,https://myanimelist.net/anime/9479
147,Curry Meshi x Zombieland Saga,40477,Completed,https://myanimelist.net/anime/40477
148,Cyberpunk: Edgerunners,42310,Completed,https://myanimelist.net/anime/42310
149,Danshi Koukousei no Nichijou,11843,Completed,https://myanimelist.net/anime/11843
150,Danshi Koukousei no Nichijou Specials,12893,Completed,https://myanimelist.net/anime/12893
151,Darling in the FranXX,35849,Completed,https://myanimelist.net/anime/35849
152,Darwin's Game,38656,Completed,https://myanimelist.net/anime/38656
153,Date A Bullet: Dead or Bullet,40416,Completed,https://myanimelist.net/anime/40416
154,Date A Bullet: Nightmare or Queen,42423,Completed,https://myanimelist.net/anime/42423
155,Date A Live,15583,Completed,https://myanimelist.net/anime/15583
156,Date A Live II,19163,Completed,https://myanimelist.net/anime/19163
157,Date A Live II: Kurumi Star Festival,22961,Completed,https://myanimelist.net/anime/22961
158,Date A Live III,36633,Completed,https://myanimelist.net/anime/36633
159,Date A Live Movie: Mayuri Judgment,24655,Completed,https://myanimelist.net/anime/24655
160,Date A Live: Date to Date,17641,Completed,https://myanimelist.net/anime/17641
161,Days,24823,Completed,https://myanimelist.net/anime/24823
162,Daze,24429,Completed,https://myanimelist.net/anime/24429
163,Death Billiards,14353,Completed,https://myanimelist.net/anime/14353
164,Death March kara Hajimaru Isekai Kyousoukyoku,34497,Completed,https://myanimelist.net/anime/34497
165,Death Parade,28223,Completed,https://myanimelist.net/anime/28223
166,Deatte 5-byou de Battle,43814,Completed,https://myanimelist.net/anime/43814
167,Deca-Dence,40056,Completed,https://myanimelist.net/anime/40056
168,Demi-chan wa Kataritai,33988,Completed,https://myanimelist.net/anime/33988
169,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,35823,Completed,https://myanimelist.net/anime/35823
170,Denpa Onna to Seishun Otoko,9379,Completed,https://myanimelist.net/anime/9379
171,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,10638,Completed,https://myanimelist.net/anime/10638
172,Denpa-teki na Kanojo,5177,Completed,https://myanimelist.net/anime/5177
173,Devils Line,35928,Completed,https://myanimelist.net/anime/35928
174,Devils Line: Anytime Anywhere,37997,Completed,https://myanimelist.net/anime/37997
175,Dies Irae,32271,Completed,https://myanimelist.net/anime/32271
176,Dies Irae: Reimei,36524,Completed,https://myanimelist.net/anime/36524
177,Dies Irae: To the Ring Reincarnation,36515,Completed,https://myanimelist.net/anime/36515
178,Do It Yourself!!,48542,Watching,https://myanimelist.net/anime/48542
179,Dogeza de Tanondemita,42571,Completed,https://myanimelist.net/anime/42571
180,Dogeza de Tanondemita: Isekai-hen,42990,Completed,https://myanimelist.net/anime/42990
181,Dokyuu Hentai HxEros,40623,Completed,https://myanimelist.net/anime/40623
182,Domestic na Kanojo,37982,Completed,https://myanimelist.net/anime/37982
183,Dorohedoro,38668,Completed,https://myanimelist.net/anime/38668
184,Dorohedoro: Ma no Omake,41053,Completed,https://myanimelist.net/anime/41053
185,Dororo,37520,Completed,https://myanimelist.net/anime/37520
186,Double Decker! Doug & Kirill,37496,Completed,https://myanimelist.net/anime/37496
187,Double Decker! Doug & Kirill: Extra,38895,Completed,https://myanimelist.net/anime/38895
188,Double-J,10838,Completed,https://myanimelist.net/anime/10838
189,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",38145,Completed,https://myanimelist.net/anime/38145
190,Doukyuusei (Movie),30346,Completed,https://myanimelist.net/anime/30346
191,Dounika Naru Hibi,40747,Completed,https://myanimelist.net/anime/40747
192,Dr. Stone,38691,Completed,https://myanimelist.net/anime/38691
193,Dr. Stone: Stone Wars,40852,Completed,https://myanimelist.net/anime/40852
194,Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,43555,Completed,https://myanimelist.net/anime/43555
195,"Dragon, Ie wo Kau.",40526,Completed,https://myanimelist.net/anime/40526
196,Dumbbell Nan Kilo Moteru?,39026,Completed,https://myanimelist.net/anime/39026
197,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,28121,Completed,https://myanimelist.net/anime/28121
198,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,32887,Completed,https://myanimelist.net/anime/32887
199,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,37347,Completed,https://myanimelist.net/anime/37347
200,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,40453,Completed,https://myanimelist.net/anime/40453
201,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,40064,Completed,https://myanimelist.net/anime/40064
202,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,40454,Completed,https://myanimelist.net/anime/40454
203,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,44983,Completed,https://myanimelist.net/anime/44983
204,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,37348,Completed,https://myanimelist.net/anime/37348
205,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,32801,Completed,https://myanimelist.net/anime/32801
206,Edens Zero,42192,Completed,https://myanimelist.net/anime/42192
207,Egao no Daika,38544,Completed,https://myanimelist.net/anime/38544
208,Eiga Daisuki Pompo-san,41361,Completed,https://myanimelist.net/anime/41361
209,Eizouken ni wa Te wo Dasu na!,39792,Completed,https://myanimelist.net/anime/39792
210,Elfen Lied,226,Completed,https://myanimelist.net/anime/226
211,Endro~!,38062,Completed,https://myanimelist.net/anime/38062
212,Enen no Shouboutai,38671,Completed,https://myanimelist.net/anime/38671
213,Enen no Shouboutai: Ni no Shou,40956,Completed,https://myanimelist.net/anime/40956
214,Evangelion: 1.0 You Are (Not) Alone,2759,Completed,https://myanimelist.net/anime/2759
215,Evangelion: 2.0 You Can (Not) Advance,3784,Completed,https://myanimelist.net/anime/3784
216,Evangelion: 3.0 You Can (Not) Redo,3785,Completed,https://myanimelist.net/anime/3785
217,Ex-Arm,38853,Completed,https://myanimelist.net/anime/38853
218,Fairy Gone,39063,Completed,https://myanimelist.net/anime/39063
219,Fairy Gone Part 2,39811,Completed,https://myanimelist.net/anime/39811
220,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,45665,Completed,https://myanimelist.net/anime/45665
221,FLCL,227,Completed,https://myanimelist.net/anime/227
222,FLCL Alternative,35842,Completed,https://myanimelist.net/anime/35842
223,FLCL Progressive,33010,Completed,https://myanimelist.net/anime/33010
224,Fragtime,39545,Completed,https://myanimelist.net/anime/39545
225,Free!,18507,Completed,https://myanimelist.net/anime/18507
226,Free! Eternal Summer,22265,Completed,https://myanimelist.net/anime/22265
227,Fruits Basket 1st Season,38680,Completed,https://myanimelist.net/anime/38680
228,Fruits Basket 2nd Season,40417,Completed,https://myanimelist.net/anime/40417
229,Fruits Basket: The Final,42938,Completed,https://myanimelist.net/anime/42938
230,Fudanshi Koukou Seikatsu,33222,Completed,https://myanimelist.net/anime/33222
231,"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki",36629,Completed,https://myanimelist.net/anime/36629
232,Fugou Keiji: Balance:Unlimited,41120,Completed,https://myanimelist.net/anime/41120
233,Futoku no Guild,51212,Watching,https://myanimelist.net/anime/51212
234,"Fuufu Ijou, Koibito Miman.",50425,Watching,https://myanimelist.net/anime/50425
235,Gaikotsu Shotenin Honda-san,36317,Completed,https://myanimelist.net/anime/36317
236,Gaikotsu Shotenin Honda-san OVA,38527,Completed,https://myanimelist.net/anime/38527
237,Gal to Kyouryuu,40358,Completed,https://myanimelist.net/anime/40358
238,Gamers!,34280,Completed,https://myanimelist.net/anime/34280
239,Gekidol: Actidol Project,32455,Completed,https://myanimelist.net/anime/32455
240,Gekkan Shoujo Nozaki-kun,23289,Completed,https://myanimelist.net/anime/23289
241,Gekkan Shoujo Nozaki-kun Specials,27633,Completed,https://myanimelist.net/anime/27633
242,Genjitsu Shugi Yuusha no Oukoku Saikenki,41710,Completed,https://myanimelist.net/anime/41710
243,Gibiate,40074,Completed,https://myanimelist.net/anime/40074
244,Given,39533,Completed,https://myanimelist.net/anime/39533
245,Given Movie,40421,Completed,https://myanimelist.net/anime/40421
246,Glasslip,23079,Completed,https://myanimelist.net/anime/23079
247,Gleipnir,39463,Completed,https://myanimelist.net/anime/39463
248,Goblin Slayer,37349,Completed,https://myanimelist.net/anime/37349
249,Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet,38807,Completed,https://myanimelist.net/anime/38807
250,Goblin Slayer: Goblin's Crown,39576,Completed,https://myanimelist.net/anime/39576
251,Godzilla: S.P,43229,Completed,https://myanimelist.net/anime/43229
252,Gokukoku no Brynhildr,21431,Completed,https://myanimelist.net/anime/21431
253,Gokukoku no Brynhildr: Kara Sawagi,24695,Completed,https://myanimelist.net/anime/24695
254,Gokushufudou,43692,Completed,https://myanimelist.net/anime/43692
255,Golden Time,17895,Completed,https://myanimelist.net/anime/17895
256,Gosick,8425,Completed,https://myanimelist.net/anime/8425
257,Gotcha!,42984,Completed,https://myanimelist.net/anime/42984
258,Granbelm,39417,Completed,https://myanimelist.net/anime/39417
259,Grancrest Senki,34279,Completed,https://myanimelist.net/anime/34279
260,Grancrest Senki: Tsuisou,37505,Completed,https://myanimelist.net/anime/37505
261,Grand Blue,37105,Completed,https://myanimelist.net/anime/37105
262,Great Pretender,40052,Completed,https://myanimelist.net/anime/40052
263,Guilty Crown,10793,Completed,https://myanimelist.net/anime/10793
264,Guilty Crown: 4-koma Gekijou,13561,Completed,https://myanimelist.net/anime/13561
265,Guilty Crown: Lost Christmas - An Episode of Port Town,13411,Completed,https://myanimelist.net/anime/13411
266,Gunjou no Magmell,37806,Completed,https://myanimelist.net/anime/37806
267,Guraburu!,41574,Completed,https://myanimelist.net/anime/41574
268,Gyo,10417,Completed,https://myanimelist.net/anime/10417
269,Gyokou no Nikuko-chan,45620,Completed,https://myanimelist.net/anime/45620
270,"Hachi-nan tte, Sore wa Nai deshou!",38830,Completed,https://myanimelist.net/anime/38830
271,Hai to Gensou no Grimgar,31859,Completed,https://myanimelist.net/anime/31859
272,Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter,32561,Completed,https://myanimelist.net/anime/32561
273,Hajimete no Gal,34403,Completed,https://myanimelist.net/anime/34403
274,Hajimete no Gal: Hajimete no Bunkasai,35237,Completed,https://myanimelist.net/anime/35237
275,Hakubo,34972,Completed,https://myanimelist.net/anime/34972
276,Hametsu no Mars,413,Completed,https://myanimelist.net/anime/413
277,Hand Shakers,32981,Completed,https://myanimelist.net/anime/32981
278,Happy Sugar Life,37517,Completed,https://myanimelist.net/anime/37517
279,HaruChika: Haruta to Chika wa Seishun suru,30895,Completed,https://myanimelist.net/anime/30895
280,Hashiri Tsuzukete Yokatta tte.,38254,Completed,https://myanimelist.net/anime/38254
281,Hataage! Kemono Michi,39030,Completed,https://myanimelist.net/anime/39030
282,Hataraku Maou-sama!,15809,Completed,https://myanimelist.net/anime/15809
283,Hataraku Saibou,37141,Completed,https://myanimelist.net/anime/37141
284,Hataraku Saibou Black,41694,Completed,https://myanimelist.net/anime/41694
285,Hataraku Saibou Specials,39605,Completed,https://myanimelist.net/anime/39605
286,Hataraku Saibou!!,39586,Completed,https://myanimelist.net/anime/39586
287,Hataraku Saibou: Kaze Shoukougun,38733,Completed,https://myanimelist.net/anime/38733
288,Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara,40076,Completed,https://myanimelist.net/anime/40076
289,Hatena☆Illusion,35252,Completed,https://myanimelist.net/anime/35252
290,"Hatena☆Illusion: Koi to Mahou no Illusion de, Muchuu Sasechaimasu! Special",41285,Completed,https://myanimelist.net/anime/41285
291,He Wei Dao x Re:Cong Ling Kaishi de Yi Shijie Shenghuo,38389,Completed,https://myanimelist.net/anime/38389
292,Heion Sedai no Idaten-tachi,42625,Completed,https://myanimelist.net/anime/42625
293,Hello World,38816,Completed,https://myanimelist.net/anime/38816
294,Hentatsu (TV),40995,Completed,https://myanimelist.net/anime/40995
295,Hentatsu (TV) Recap,41564,Completed,https://myanimelist.net/anime/41564
296,Hige wo Soru. Soshite Joshikousei wo Hirou.,40938,Completed,https://myanimelist.net/anime/40938
297,High Score Girl,21877,Completed,https://myanimelist.net/anime/21877
298,High Score Girl II,39570,Completed,https://myanimelist.net/anime/39570
299,High Score Girl: Extra Stage,38422,Completed,https://myanimelist.net/anime/38422
300,Highschool of the Dead,8074,Completed,https://myanimelist.net/anime/8074
301,Highschool of the Dead: Drifters of the Dead,9515,Completed,https://myanimelist.net/anime/9515
302,Himote House,36945,Completed,https://myanimelist.net/anime/36945
303,Hinamatsuri (TV),36296,Completed,https://myanimelist.net/anime/36296
304,Hitoribocchi no Marumaru Seikatsu,37614,Completed,https://myanimelist.net/anime/37614
305,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,39468,Completed,https://myanimelist.net/anime/39468
306,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,40815,Completed,https://myanimelist.net/anime/40815
307,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,42429,Completed,https://myanimelist.net/anime/42429
308,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,40841,Completed,https://myanimelist.net/anime/40841
309,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,51616,Completed,https://myanimelist.net/anime/51616
310,Horimiya,42897,Completed,https://myanimelist.net/anime/42897
311,Hortensia Saga,40961,Completed,https://myanimelist.net/anime/40961
312,Hoshi no Koe,256,Completed,https://myanimelist.net/anime/256
313,Hoshi wo Ou Kodomo,9760,Completed,https://myanimelist.net/anime/9760
314,Hoshiai no Sora,37972,Completed,https://myanimelist.net/anime/37972
315,Hotaru no Haka,578,Completed,https://myanimelist.net/anime/578
316,Hotarubi no Mori e,10408,Completed,https://myanimelist.net/anime/10408
317,Houkago Saikoro Club,38276,Completed,https://myanimelist.net/anime/38276
318,Houkago Teibou Nisshi,39730,Completed,https://myanimelist.net/anime/39730
319,Housekishou Richard-shi no Nazo Kantei,40230,Completed,https://myanimelist.net/anime/40230
320,Howl no Ugoku Shiro,431,Completed,https://myanimelist.net/anime/431
321,Hyakuren no Haou to Seiyaku no Valkyria,37446,Completed,https://myanimelist.net/anime/37446
322,Hyouka,12189,Completed,https://myanimelist.net/anime/12189
323,Hyouka: Motsubeki Mono wa,13469,Completed,https://myanimelist.net/anime/13469
