,anime,season,year,category,songname,artist,link,extra
387,Date A Live,Spring 2013,2013,Ending Theme,Hatsukoi Winding Road,"Kayoko Tsumita, Risako Murai, Midori Tsukimiya", ,
388,Date A Live,Spring 2013,2013,Ending Theme,SAVE THE WORLD,Iori Nomizu,https://open.spotify.com/track/6EVyt8h6HlBe8fIV4tSF8i,
389,Date A Live,Spring 2013,2013,Ending Theme,SAVE MY HEART,Iori Nomizu,https://open.spotify.com/track/34JsL4FzMu8tZQycY3hRIv,
390,Date A Live,Spring 2013,2013,Ending Theme,Strawberry Rain (ストロベリーレイン),Iori Nomizu,https://open.spotify.com/track/5Fr5Krh07AunZpUcYdDM0o,
391,Date A Live II,Spring 2014,2014,Opening Theme,Trust in you,sweet ARMS, ,
392,Date A Live II,Spring 2014,2014,Ending Theme,Day to Story,Kaori Sadohara, ,
393,Date A Live II,Spring 2014,2014,Ending Theme,My Treasure,Miku Izayoi (CV_ Minori Chihara), ,
394,Date A Live II: Kurumi Star Festival,,1900,Opening Theme,Trust in you,sweet ARMS, ,
395,Date A Live II: Kurumi Star Festival,,1900,Ending Theme,Day to Story,Kaori Sadohara, ,
396,Date A Live III,Winter 2019,2019,Opening Theme,I swear,sweet ARMS, ,
397,Date A Live III,Winter 2019,2019,Ending Theme,Last Promise,Erii Yamazaki,https://open.spotify.com/track/3n0z4EYGSVg05caYFoTSAH,
398,Date A Live Movie: Mayuri Judgment,,1900,Opening Theme,Go☆Summer Girl,Miku Izayoi (Minori Chihara), ,
399,Date A Live Movie: Mayuri Judgment,,1900,Ending Theme,Invisible Date,sweet ARMS, ,
400,Date A Live: Date to Date,,1900,Opening Theme,Date A Live (デート・ア・ライブ),sweet ARMS, ,
401,Date A Live: Date to Date,,1900,Ending Theme,Hatsukoi Winding Road,"Kayoko Tsumita, Risako Murai, Midori Tsukimiya", ,
402,Death March kara Hajimaru Isekai Kyousoukyoku,Winter 2018,2018,Opening Theme,Slide Ride (スライドライド),"Run Girls, Run!",https://open.spotify.com/track/3RodnJYf3LDmf9bjFHgj61,
403,Death March kara Hajimaru Isekai Kyousoukyoku,Winter 2018,2018,Ending Theme,Suki no Skill (スキノスキル),"Wake Up, Girls!",https://open.spotify.com/track/5MrNhTn4adte7FeeDdz0Im,
404,Death March kara Hajimaru Isekai Kyousoukyoku,Winter 2018,2018,Ending Theme,Suki no Skill (スキノスキル),"Wake Up, Girls!",https://open.spotify.com/track/5MrNhTn4adte7FeeDdz0Im,
405,Death March kara Hajimaru Isekai Kyousoukyoku,Winter 2018,2018,Ending Theme,Bishoujo Tenshi Magical Rose (美少女天使マジカルロス),"Pochi (Kouno Hiyori), Tama (Okuno Kaya), Arisa (Yuuki Aoi)", ,
406,Death Parade,Winter 2015,2015,Opening Theme,Flyers,BRADIO,https://open.spotify.com/track/6VBQ4DF4fwPJNA96RbMQWT,
407,Death Parade,Winter 2015,2015,Ending Theme,Last Theater,NoisyCell,https://open.spotify.com/track/2MvLw9BE5ndkvZLXJcb1oC,
408,Deatte 5-byou de Battle (Battle Game in 5 Seconds),Summer 2021,2021,Opening Theme,No Continue,Akari Kitou,https://open.spotify.com/track/661WsL3EKQDINo3JeLbWbC,
409,Deatte 5-byou de Battle (Battle Game in 5 Seconds),Summer 2021,2021,Ending Theme,Make Event Jikkyou Play (負けイベ実況プレイ),15-sai & Seiko Oomori (15才と大森靖子),https://open.spotify.com/track/7KRcAcbxPVrQLHouMK9hvB,
410,Deca-Dence,Summer 2020,2020,Opening Theme,Theater of Life,Konomi Suzuki (鈴木このみ),https://open.spotify.com/track/6SfMtqFNFpGjme3a83nk0O,
411,Deca-Dence,Summer 2020,2020,Ending Theme,Kioku no Hakobune (記憶の箱舟),Kashitarou Itou (伊東歌詞太郎),https://open.spotify.com/track/2uH61VrSEAOULERowDKlSG,
412,Demi-chan wa Kataritai (Interviews With Monster Girls),Winter 2017,2017,Opening Theme,Original_ (オリジナル。),TrySail,https://open.spotify.com/track/036m0S9exIrmetwDkD749H,
413,Demi-chan wa Kataritai (Interviews With Monster Girls),Winter 2017,2017,Ending Theme,Fairy Tale (フェアリーテイル),Sangatsu no Phantasia,https://open.spotify.com/track/4n5FzbA4qizNnvLBrO8YrP,
414,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,,1900,Opening Theme,Original_ (オリジナル。),TrySail,https://open.spotify.com/track/4Hx9M5trX3UM5QY7iRDXF7,
415,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,,1900,Ending Theme,Fairy Tale (フェアリーテイル),Sangatsu no Phantasia,https://open.spotify.com/track/0o8y6LnL7GpH8abTTOFKAP,
416,Denpa Onna to Seishun Otoko (Ground Control to Psychoelectric Girl),Spring 2011,2011,Opening Theme,Os-Uchuujin (Os-宇宙人),Erio wo Kamatte-chan (エリオをかまってちゃん) (Asuka Oogame),https://open.spotify.com/track/7HsV5OfoVNXrGuut2ajhl7,
417,Denpa Onna to Seishun Otoko (Ground Control to Psychoelectric Girl),Spring 2011,2011,Ending Theme,Ruru (ルル),Etsuko Yakushimaru, ,
418,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,,1900,Opening Theme,Os-Uchuujin (Os-宇宙人),Erio wo Kamatte-chan (エリオをかまってちゃん) (Asuka Oogame),https://open.spotify.com/track/7HsV5OfoVNXrGuut2ajhl7,
419,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,,1900,Ending Theme,Ruru (ルル),Etsuko Yakushimaru, ,
420,Denpa-teki na Kanojo (Electromagnetic Girlfriend),,1900,Ending Theme,Taiyo,tenohira, ,
421,Denpa-teki na Kanojo (Electromagnetic Girlfriend),,1900,Ending Theme,Door,Rumika, ,
422,Devils Line (Devils' Line),Spring 2018,2018,Opening Theme,Eclipse,Shouta Aoi,https://open.spotify.com/track/7mijyfIOav7iwaqanw8cyZ,
423,Devils Line (Devils' Line),Spring 2018,2018,Ending Theme,Sotto Tokete Yuku You ni (そっと溶けてゆくように),Mamoru Miyano,https://open.spotify.com/track/1aJ4xVDcMdiWbJiHTN6GeK,
424,Devils Line: Anytime Anywhere,,1900,Opening Theme,Eclipse,Shouta Aoi,https://open.spotify.com/track/7mijyfIOav7iwaqanw8cyZ,
425,Devils Line: Anytime Anywhere,,1900,Ending Theme,Sotto Tokete Yuku You ni (そっと溶けてゆくように),Mamoru Miyano,https://open.spotify.com/track/6H5duEoh3xQbDUutSbhjxU,
426,Dies Irae,Fall 2017,2017,Opening Theme,Kadenz,Yui Sakakibara,https://open.spotify.com/track/7zHB3LHFUlBIhO2JiQO7yx,
427,Dies Irae,Fall 2017,2017,Ending Theme,Opera (オペラ),Phero☆Men, ,
428,Dies Irae: Reimei (Dies irae: The Dawning Days),,1900,Ending Theme,Kadenz,Yui Sakakibara,https://open.spotify.com/track/7zHB3LHFUlBIhO2JiQO7yx,
429,Do It Yourself!!,Fall 2022,2022,Opening Theme,Dokidoki Idea wo Yoroshiku! (どきどきアイデアをよろしく！),Katajou DIY-bu!! (潟女DIY部!!), ,
430,Do It Yourself!!,Fall 2022,2022,Ending Theme,Tsuzuku Hanashi (続く話),Serufu (CV_ Konomi Inagaki) and Purin (CV_ Kana Ichinose), ,
431,Dogeza de Tanondemita (Dogeza: I Tried Asking While Kowtowing.),Fall 2020,2020,Opening Theme,DOGEZA! Do get that!,"Dogeza Tai (Dogeza 隊) [Minori Gakesaka (Yui Ogura), Natsumi Yuuseki (Saika Kitamori), Sannose Kinose (Akane Kaida), Doge Suwaru (Tomokazu Sugita)]",https://open.spotify.com/track/1MXGAkhCIDRzu5c0Q7vw7K,
432,Dokyuu Hentai HxEros (SUPER HXEROS),Summer 2020,2020,Opening Theme,Wake Up Hx ERO! feat_ Retto Enjou (CV_ Yoshitsugu Matsuoka) (Wake Up Hx ERO! feat_ 炎城烈人（CV_松岡禎丞）),HXEROS SYNDROMES, ,
433,Dokyuu Hentai HxEros (SUPER HXEROS),Summer 2020,2020,Ending Theme,lost emotion,Kirara Hoshino (Ai Kakuma), ,
434,Domestic na Kanojo (Domestic Girlfriend),Winter 2019,2019,Opening Theme,Kawaki wo Ameku (カワキヲアメク),Minami,https://open.spotify.com/track/1gUAX2ImxDsB3YDcyxMXlB,
435,Domestic na Kanojo (Domestic Girlfriend),Winter 2019,2019,Ending Theme,Wagamama (わがまま),Alisa Takigawa,https://open.spotify.com/track/6TdiF8DD5f2qG5FXPtBtzb,
436,Domestic na Kanojo (Domestic Girlfriend),Winter 2019,2019,Ending Theme,always,Alisa Takigawa,https://open.spotify.com/track/2WemeBpJVwLCNVOHqddh46,
437,Dorohedoro,Winter 2020,2020,Opening Theme,Welcome to Chaos (Welcome トゥ 混沌（カオス）),(K) NoW_NAME,https://open.spotify.com/track/062w9DynFaHIsmNwhoFn90,
438,Dorohedoro,Winter 2020,2020,Ending Theme,Who am I _,(K) NoW_NAME,https://open.spotify.com/track/5MMJuy6NxbYCoyno5zgNFP,
439,Dorohedoro,Winter 2020,2020,Ending Theme,Night SURFING,(K) NoW_NAME,https://open.spotify.com/track/4SzXKKh96fW297VNNVTKKA,
440,Dorohedoro,Winter 2020,2020,Ending Theme,D_D_D_D_,(K) NoW_NAME,https://open.spotify.com/track/3xq5nPHz7xSautx6iJDzVh,
441,Dorohedoro,Winter 2020,2020,Ending Theme,Strange Meat Pie,(K) NoW_NAME,https://open.spotify.com/track/7qOR9ietM5kJn75Uns6qwp,
442,Dorohedoro,Winter 2020,2020,Ending Theme,SECONDs FLY,(K) NoW_NAME,https://open.spotify.com/track/3NnfctE9UB6fyPIcoxTLUQ,
443,Dorohedoro,Winter 2020,2020,Ending Theme,404,(K) NoW_NAME,https://open.spotify.com/track/2Mfpv9ZgcNFbPhIlSrXyzb,
444,Dorohedoro: Ma no Omake (Dorohedoro: Bonus Curse or Extra Evil),,1900,Ending Theme,1000 Ju Kannon (1000手観音),(K)NoW_NAME,https://open.spotify.com/track/13n9YBMi7tPJBodneQfNzV,
445,Dororo,Winter 2019,2019,Opening Theme,Kaen (火炎),Ziyoou-vachi,https://open.spotify.com/track/4k2GMy34pt5rQT9aVEzEwq,
446,Dororo,Winter 2019,2019,Opening Theme,Dororo,ASIAN KUNG-FU GENERATION,https://open.spotify.com/track/57Wtf9KjFm6GKjJ9qZ2pI5,
447,Dororo,Winter 2019,2019,Ending Theme,Sayonara Gokko (さよならごっこ),amazarashi,https://open.spotify.com/track/7H09NfuWbm1lhCqtPb5M5s,
448,Dororo,Winter 2019,2019,Ending Theme,Yamiyo (闇夜),Eve,https://open.spotify.com/track/7vtM2vTsBAIE3sXzmIrmkz,
449,Double Decker! Doug & Kirill,Fall 2018,2018,Opening Theme,Stereo to Monologue (ステレオとモノローグ),Kirisame Undertaker (霧雨アンダーテイカー),https://open.spotify.com/track/5BqzqiQA216HVJziNdZZoa,
450,Double Decker! Doug & Kirill,Fall 2018,2018,Ending Theme,Buntline Special,VickeBlanka,https://open.spotify.com/track/0T2e8YoQ9uMVXLivf0MifB,
451,Double Decker! Doug & Kirill: Extra,,1900,Opening Theme,Stereo to Monologue (ステレオとモノローグ),Kirisame Undertaker (霧雨アンダーテイカー),https://open.spotify.com/track/5BqzqiQA216HVJziNdZZoa,
452,Double Decker! Doug & Kirill: Extra,,1900,Ending Theme,Buntline Special,VickeBlanka,https://open.spotify.com/track/0T2e8YoQ9uMVXLivf0MifB,
453,Double-J,Summer 2011,2011,Ending Theme,Wani to Shampoo (ワニとシャンプー),Momoiro Clover Z,https://open.spotify.com/track/4IVrQgd48Vj5z7LLOU6xCW,
454,Double-J,Summer 2011,2011,Ending Theme,Kyou no Hi wa Sayounara (今日の日はさようなら),"Hajime Usami (Ayuru Ohashi), Sayo Arima (Emiri Kato), Aya Chousokabe (Kanami Satou), Maria Sassa (Chiaki Omigawa), Ema Houjou (Ayana Taketatsu), Shizuma Sanada (Ryou Hirohashi), Françoise", ,
455,"Doukyonin wa Hiza, Tokidoki, Atama no Ue. (My Roommate is a Cat)",Winter 2019,2019,Opening Theme,Unknown World (アンノウンワールド),Schrodinger's Cat adding Kotringo,https://open.spotify.com/track/6gUamMUDojhsJGAKnaVCBm,
456,"Doukyonin wa Hiza, Tokidoki, Atama no Ue. (My Roommate is a Cat)",Winter 2019,2019,Ending Theme,Kimi no Tonari Watashi no Basho (君のとなり わたしの場所),Yoshino Nanjo,https://open.spotify.com/track/4nzeWv6od31dte9gtqMRve,
457,Doukyuusei (Movie) (Doukyusei -Classmates-),,1900,Ending Theme,Doukyuusei (同級生),Koutarou Oshio with Yuuki Ozaki (from Galileo Galilei),https://open.spotify.com/track/010wjhOg2RUgZsWxTgtym8,
458,Dounika Naru Hibi (Happy-Go-Lucky Days),,1900,Ending Theme,Monomane (モノマネ),CreepHyp,https://open.spotify.com/track/2GkMtL3JAinbeBFWryj5jo,
459,Dr. Stone,Summer 2019,2019,Opening Theme,Good Morning World!,BURNOUT SYNDROMES,https://open.spotify.com/track/5p0T8499UG6lKHzXjLnckz,
460,Dr. Stone,Summer 2019,2019,Opening Theme,Sangenshoku (三原色),PELICAN FANCLUB,https://open.spotify.com/track/4rfcYp6k3NG7eYUF8wG40U,
461,Dr. Stone,Summer 2019,2019,Ending Theme,Good Morning World!,BURNOUT SYNDROMES, ,
462,Dr. Stone,Summer 2019,2019,Ending Theme,LIFE,Rude-α,https://open.spotify.com/track/0Nrx6evESxmlEnPo8IWgv6,
463,Dr. Stone,Summer 2019,2019,Ending Theme,Yume no You na (夢のような),YouthK Saeki,https://open.spotify.com/track/0sUDRs6IsFW6vZSLuHS531,
464,Dr. Stone: Stone Wars,Winter 2021,2021,Opening Theme,Rakuen (楽園),Fujifabric,https://open.spotify.com/track/6X9m9JRk2ypGusClUBraII,
465,Dr. Stone: Stone Wars,Winter 2021,2021,Ending Theme,Rakuen (楽園),Fujifabric, ,
466,Dr. Stone: Stone Wars,Winter 2021,2021,Ending Theme,Koe Dake ga_ (声（こえだけが）),Hatena, ,
467,"Dragon, Ie wo Kau. (Dragon Goes House-Hunting)",Spring 2021,2021,Opening Theme,Role-Playing (ロールプレイング),Masayoshi Ooishi,https://open.spotify.com/track/5jfB4JaslBMCTzKRKnVCo8,
468,"Dragon, Ie wo Kau. (Dragon Goes House-Hunting)",Spring 2021,2021,Ending Theme,Shizuka na Kaze (静かな風),Non Stop Rabbit,https://open.spotify.com/track/3715d6GcGweoWDQfRz2byN,
469,Dumbbell Nan Kilo Moteru? (How Heavy Are the Dumbbells You Lift?),Summer 2019,2019,Opening Theme,Onegai Muscle (お願いマッスル),"Hibiki Sakura (Ai Fairuz), & Naruzou Machio (Kaito Ishikawa)", ,
470,Dumbbell Nan Kilo Moteru? (How Heavy Are the Dumbbells You Lift?),Summer 2019,2019,Ending Theme,Macho a Name_ (マッチョアネーム？),Naruzou Machio (Kaito Ishikawa), ,
471,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Spring 2015,2015,Opening Theme,Hey World,Yuka Iguchi, ,
472,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Spring 2015,2015,Ending Theme,Hey World,Yuka Iguchi, ,
473,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Spring 2015,2015,Ending Theme,RIGHT LIGHT RISE,Kanon Wakeshima,https://open.spotify.com/track/2tQDzs8A1IhyoP8oyMUbqi,
474,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Spring 2015,2015,Ending Theme,REALIZE ~Hajimari no Toki~ (REALIZE ～始まりのとき～),Liliruca Arde (Maaya Uchida), ,
475,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Spring 2017,2017,Opening Theme,RE-ILLUSION,Yuka Iguchi, ,
476,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Spring 2017,2017,Ending Theme,day,day_,https://open.spotify.com/track/5G2tAHxni0WEXU5mCBpYQh,
477,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Summer 2019,2019,Opening Theme,HELLO to DREAM,Yuka Iguchi, ,
478,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Summer 2019,2019,Ending Theme,Sasayakana Shukusai (ささやかな祝祭),sora tob sakana,https://open.spotify.com/track/2Y95Sm12bywsMhPh46mlfO,
479,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,,1900,Opening Theme,HELLO to DREAM,Yuka Iguchi, ,
480,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,,1900,Ending Theme,Tropica☆Vacation (トロピカッ☆バケーション),Aiz Wallenstein (Saori Oonishi), ,
481,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,,1900,Opening Theme,Hey World,Yuka Iguchi, ,
482,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,,1900,Ending Theme,RIGHT LIGHT RISE,Kanon Wakeshima, ,
483,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,Fall 2020,2020,Opening Theme,over and over,Yuka Iguchi, ,
484,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,Fall 2020,2020,Ending Theme,Evergreen,sajou no hana,https://open.spotify.com/track/42IxkFE571nYC8CoRualIn,
485,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,,1900,Opening Theme,over and over,Yuka Iguchi, ,
486,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,,1900,Ending Theme,Otoko to Onna wa Labyrinth (男と女はラビリンス),"Hestia (CV_ Inori Minase), Ais Wallenstein (CV_ Saori Oonishi)", ,
487,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,,1900,Ending Theme,Onaji Sora no Shita de (おなじ空の下で),Yuka Iguchi, ,
488,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,,1900,Opening Theme,Hey World,Yuka Iguchi, ,
489,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,,1900,Ending Theme,Kimi to Boku no 1-nichi (君とボクの1日),Inori Minase, ,
490,Edens Zero,Spring 2021,2021,Opening Theme,Eden through the rough,Takanori Nishikawa,https://open.spotify.com/track/7tMhgKLvoaXsb4OFy3nUTy,
491,Edens Zero,Spring 2021,2021,Opening Theme,FOREVER,L'Arc-en-Ciel,https://open.spotify.com/track/3A29FbPw6xYGQBMhJJQjAi,
492,Edens Zero,Spring 2021,2021,Ending Theme,Eden through the rough,Takanori Nishikawa,https://open.spotify.com/track/7tMhgKLvoaXsb4OFy3nUTy,
493,Edens Zero,Spring 2021,2021,Ending Theme,Bouken no VLOG (冒険のVLOG),CHiCO with HoneyWorks,https://open.spotify.com/track/6KtkYlgZoBno6Ai894zfSD,
494,Edens Zero,Spring 2021,2021,Ending Theme,Sekai no Himitsu (世界の秘密),Sayuri, ,
495,Egao no Daika (The Price of Smiles),Winter 2019,2019,Opening Theme,Egao no Kanata (エガオノカナタ),Chiho feat_majiko,https://open.spotify.com/track/01orqewNOGIoy2V5Y6oqtr,
496,Egao no Daika (The Price of Smiles),Winter 2019,2019,Ending Theme,Kono Sekai ni Hanataba wo (この世界に花束を),Kimi no Orphee (キミノオルフェ),https://open.spotify.com/track/4Nbl8iTZ3kmjiNmAgNKoBU,
497,Eiga Daisuki Pompo-san (Pompo: The Cinéphile),,1900,Opening Theme,Dance On Fire,Seiko Niizuma (新妻聖子),https://open.spotify.com/track/6Dje6TWorVT606P8AQy0OY,
498,Eiga Daisuki Pompo-san (Pompo: The Cinéphile),,1900,Ending Theme,Mado wo Akete (窓を開けて),CIEL,https://open.spotify.com/track/4TwD0lFw27wyvl3ZmHV9Vi,
499,Eizouken ni wa Te wo Dasu na! (Keep Your Hands Off Eizouken!),Winter 2020,2020,Opening Theme,Easy Breezy,chelmico,https://open.spotify.com/track/4B0iIMQz88iQiMlRP47fJ1,
500,Eizouken ni wa Te wo Dasu na! (Keep Your Hands Off Eizouken!),Winter 2020,2020,Ending Theme,Namae no Nai Ao (名前のない青),"Kamisama, Boku wa Kizuite shimatta (神様、僕は気づいてしまった)",https://open.spotify.com/track/0xSKobz5d2E8oIkwTumwkZ,
501,Elfen Lied,Summer 2004,2004,Opening Theme,Lilium,Kumiko Noma, ,
502,Elfen Lied,Summer 2004,2004,Ending Theme,Be Your Girl,Chieko Kawabe, ,
503,Endro~! (ENDRO!),Winter 2019,2019,Opening Theme,Endoro~ru! (えんどろ～る！),"Yuusha Party [Yuusha (Hikaru Akao), Seira (Shiina Natsukawa), Fai (Ari Ozawa), Mei (Inori Minase)]", ,
504,Endro~! (ENDRO!),Winter 2019,2019,Ending Theme,Wonder Caravan!,Inori Minase,https://open.spotify.com/track/0CESwF3IZVYrSMHVTO5X9G,
505,Enen no Shouboutai (Fire Force),Summer 2019,2019,Opening Theme,Inferno (インフェルノ),Mrs_GREEN APPLE,https://open.spotify.com/track/64yajM6CxtLghmgB53VeXT,
506,Enen no Shouboutai (Fire Force),Summer 2019,2019,Opening Theme,MAYDAY feat_ Ryo from CRYSTAL LAKE,coldrain,https://open.spotify.com/track/2wJJNgD6GrKoQ435VxTRv6,
507,Enen no Shouboutai (Fire Force),Summer 2019,2019,Ending Theme,veil,Keina Suda,https://open.spotify.com/track/1dGF5ymTyBB2ZmOypkeU1F,
508,Enen no Shouboutai (Fire Force),Summer 2019,2019,Ending Theme,Nounai (脳内) ,Lenny code fiction,https://open.spotify.com/track/1iyywIPs8cz5EhyzGQoUuX,
509,Enen no Shouboutai: Ni no Shou (Fire Force Season 2),Summer 2020,2020,Opening Theme,SPARK-AGAIN,Aimer,https://open.spotify.com/track/3NEuSQZbVmfQwRuDKol40Y,
510,Enen no Shouboutai: Ni no Shou (Fire Force Season 2),Summer 2020,2020,Opening Theme,Torch of Liberty,KANA-BOON,https://open.spotify.com/track/3YblgwBrb747gUzuh2CgYF,
511,Enen no Shouboutai: Ni no Shou (Fire Force Season 2),Summer 2020,2020,Ending Theme,ID,Cidergirl,https://open.spotify.com/track/2TdfwkIHpCb0S8NYJVyr2X,
512,Enen no Shouboutai: Ni no Shou (Fire Force Season 2),Summer 2020,2020,Ending Theme,Desire (ディザイア),PELICAN FANCLUB,https://open.spotify.com/track/198elPRu7tlHqwAZrQvqyG,
513,Enen no Shouboutai: Ni no Shou (Fire Force Season 2),Summer 2020,2020,Ending Theme,Inferno (インフェルノ),Mrs_GREEN APPLE,https://open.spotify.com/track/64yajM6CxtLghmgB53VeXT,
514,Evangelion: 1.0 You Are (Not) Alone,,1900,Ending Theme,Beautiful World,Utada Hikaru,https://open.spotify.com/track/6aOoUkiQ9rLweL8IkPBN0L,
515,Evangelion: 2.0 You Can (Not) Advance,,1900,Ending Theme,Beautiful World -PLANiTb Acoustica Mix-,Hikaru Utada, ,
516,Evangelion: 3.0 You Can (Not) Redo,,1900,Ending Theme,Sakura Nagashi (桜流し),Hikaru Utada,https://open.spotify.com/track/2TQsZUVhevVTtNUil5JoJv,
517,Ex-Arm,Winter 2021,2021,Opening Theme,Rise Again,AIRFLIP,https://open.spotify.com/track/427dGLaS9w3Qdap4a5dsEv,
518,Ex-Arm,Winter 2021,2021,Ending Theme,Diamonds Shine,Dizzy Sunfist,https://open.spotify.com/track/1yQ9LCLv5z670VX8FZ0pLN,
519,Fairy Gone,Spring 2019,2019,Opening Theme,KNOCK on the CORE,(K)NoW_NAME,https://open.spotify.com/track/6ks0Bw3gnNAizTHa4oZCjt,
520,Fairy Gone,Spring 2019,2019,Ending Theme,Ash-like Snow,(K)NoW_NAME,https://open.spotify.com/track/0ORcxmgIVTRXx8GM4WM9Gr,
521,Fairy Gone Part 2 (Fairy gone Season 1 Part 2),Fall 2019,2019,Opening Theme,STILL STANDING,(K)NoW_NAME_Ayaka Tachibana & NIKIIE & AIJ,https://open.spotify.com/track/6eVkdAROm7UKSg7PCVcNdx,
522,Fairy Gone Part 2 (Fairy gone Season 1 Part 2),Fall 2019,2019,Ending Theme,Stay Gold,(K)NoW_NAME_Ayaka Tachibana,https://open.spotify.com/track/1RumrzffVUSJynovcuWoRR,
523,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,Spring 2021,2021,Opening Theme,Ayashiku Get your heart (妖しく Get your heart),5 to HEAVEN,https://open.spotify.com/track/3BdIpIjhJ4L6npiik8Tf5a,
524,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,Spring 2021,2021,Ending Theme,Yousei Aika (夭聖哀歌),5 to HEAVEN,https://open.spotify.com/track/67nkPb0fRaD4WEJjtYuCFE,
525,FLCL,,1900,Opening Theme,One Life,The Pillows, ,
526,FLCL,,1900,Opening Theme,Instant Music,The Pillows, ,
527,FLCL,,1900,Opening Theme,Happy Bivouac,The Pillows, ,
528,FLCL,,1900,Opening Theme,Runners High,The Pillows, ,
529,FLCL,,1900,Opening Theme,Carnival,The Pillows, ,
530,FLCL,,1900,Ending Theme,Ride On Shooting Star,The Pillows, ,
531,FLCL Alternative,,1900,Ending Theme,Star overhead,the pillows,https://open.spotify.com/track/3wTGLqNlD8nszqIouHeh8F,
532,FLCL Progressive,,1900,Ending Theme,Spiky Seeds,the pillows,https://open.spotify.com/track/1RiEUCmGCO3uRwAUz6OalV,
533,Fragtime,,1900,Ending Theme,fragile,Misuzu Moritani (Miku Itou) and Haruka Murakami (Yume Miyamoto),https://open.spotify.com/track/0iT8n8QWRKKImQxdfr6uo8,
534,Free! (Free! - Iwatobi Swim Club),Summer 2013,2013,Opening Theme,Rage on,OLDCODEX,https://open.spotify.com/track/5Szsp19K9hRQonytWeIgCV,
535,Free! (Free! - Iwatobi Swim Club),Summer 2013,2013,Ending Theme,SPLASH FREE,"STYLE FIVE (Nobunaga Shimazaki, Tatsuhisa Suzuki, Mamoru Miyano, Tsubasa Yonaga, Daisuke Hirakawa)", ,
536,Free! (Free! - Iwatobi Swim Club),Summer 2013,2013,Ending Theme,EVER BLUE,"STYLE FIVE (Nobunaga Shimazaki, Tatsuhisa Suzuki, Mamoru Miyano, Tsubasa Yonaga, Daisuke Hirakawa)", ,
537,Free! Eternal Summer (Free! - Eternal Summer),Summer 2014,2014,Opening Theme,Dried Up Youthful Fame,OLDCODEX,https://open.spotify.com/track/1NkUIKiwIH6u40JvHKOAEk,
538,Free! Eternal Summer (Free! - Eternal Summer),Summer 2014,2014,Ending Theme,FUTURE FISH,"STYLE FIVE (Nobunaga Shimazaki, Tatsuhisa Suzuki, Mamoru Miyano, Tsubasa Yonaga, Daisuke Hirakawa) ", ,
539,Free! Eternal Summer (Free! - Eternal Summer),Summer 2014,2014,Ending Theme,Clear Blue Departure,"Haruka  Nanase (Nobunaga Shimazaki), Makoto Tachibana (Tatsuhisa Suzuki), Nagisa Hazuki (Tsubasa Yonaga), Rei Ryuugazaki (Daisuke Hirakawa), Rin Matsuoka (Mamoru Miyano), Sousuke Yamazaki (Yoshimasa Hosoya), Aiichirou  Nitori (Kouki Miyata), Momotarou Mikoshiba (Kenichi Suzumura)", ,
540,Fruits Basket 1st Season,Spring 2019,2019,Opening Theme,Again,Beverly,https://open.spotify.com/track/12ad0oPQaR6X6Jcoqz8rcz,
541,Fruits Basket 1st Season,Spring 2019,2019,Opening Theme,Chime,Ai Otsuka,https://open.spotify.com/track/3sePSu5Iv52Sf6qUNzqCT8,
542,Fruits Basket 1st Season,Spring 2019,2019,Ending Theme,Lucky Ending,Vickeblanka,https://open.spotify.com/track/3QGGuyHa1m594Vujc5W4Mb,
543,Fruits Basket 1st Season,Spring 2019,2019,Ending Theme,One Step Closer,INTERSECTION,https://open.spotify.com/track/5TzH36LbU4cnntXmdUDXuW,
