,anime,season,year,category,songname,artist,link,extra,status
26,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),Fall 2017,2017,Ending Theme,I AM STANDING,RUANN,https://open.spotify.com/track/4R9W8aH6fHTc8VaUgu72Ol,,Downloaded
27,3D Kanojo_ Real Girl (Real Girl),Spring 2018,2018,Opening Theme,Daiji na Koto (だいじなこと),Quruli,https://open.spotify.com/track/1IxKVKHJq31OqdeibxB6aO,,Downloaded
28,3D Kanojo_ Real Girl (Real Girl),Spring 2018,2018,Ending Theme,HiDE the BLUE,BiSH,https://open.spotify.com/track/7p4HUrX56eDEYiitt4jNUK,,Downloaded
29,3D Kanojo_ Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Opening Theme,Futari nara (二人なら),BiSH,https://www.youtube.com/watch?v=ihMT9cbfdRE,3D Kanojo OP2 FULL『Futari nara by BiSH』,
30,3D Kanojo_ Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Ending Theme,Hagan (破顔),Fujifabric,https://open.spotify.com/track/3fqyaPH3E5vIhhjW4Fqybi,,Downloaded
31,3D Kanojo_ Real Girl 2nd Season (Real Girl Season 2),Winter 2019,2019,Ending Theme,Daiji na Koto (だいじなこと),Quruli,https://open.spotify.com/track/1IxKVKHJq31OqdeibxB6aO,,Downloaded
32,4-nin wa Sorezore Uso wo Tsuku (The Little Lies We All Tell),Fall 2022,2022,Opening Theme,Eclipse (エクリプス),NACHERRY,https://www.youtube.com/watch?v=-Src7E81J3A,TVアニメ『4人はそれぞれウソをつく』オープニング主題歌  NACHERRY 「エクリプス」Music Video,
33,4-nin wa Sorezore Uso wo Tsuku (The Little Lies We All Tell),Fall 2022,2022,Ending Theme,For 4 Forever,"Rikka (Chiemi Tanaka), Chiyo (Natsumi Murakami), Sekine (Ayane Sakura), Tsubasa (Megumi Han)",https://www.youtube.com/watch?v=IZH8d4IZ2LU,For 4 Forever,
34,5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Opening Theme,Gotoubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/4T0CHrYyqrRY4dOIyuYg4b,,Downloaded
35,5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Ending Theme,Sign,Aya Uchida,https://open.spotify.com/track/3pUeCDzHNM0yHN0FoPEadN,,Downloaded
36,5-toubun no Hanayome (The Quintessential Quintuplets),Winter 2019,2019,Ending Theme,Gobun no Ichi (ごぶんのいち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/0Zj8Yt8bzFajzsOTYLFcZh,,Downloaded
37,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Opening Theme,Gotoubun no Katachi (五等分のカタチ),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/0c0SnAvk6flplPQWkb0oIO,,Downloaded
38,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Hatsukoi (はつこい),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/7FYUMfQhtdm5AJRfU699sB,,Downloaded
39,5-toubun no Hanayome ∬ (The Quintessential Quintuplets 2),Winter 2021,2021,Ending Theme,Go-toubun no Kimochi (五等分の気持ち),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://www.youtube.com/watch?v=ee2DCFiPCy0,5-toubun no Hanayome OP Full || Gotoubun no Kimochi - Nakano-ke no Itsutsugo,
40,5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Opening Theme,Gotoubun no Kiseki (五等分の軌跡),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://www.youtube.com/watch?v=CqGCdL6MxMA,はつこい,
41,5-toubun no Hanayome Movie (The Quintessential Quintuplets Movie),,1900,Ending Theme,5-toubun no Hanayome_ Arigato no Hana (五等分の花嫁～ありがとうの花～),"Nakanoke no Itsuzugo (中野家の五つ子) (Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase)",https://open.spotify.com/track/1fAoQLtz2mKJR29yCBRR6f,,Downloaded
42,86 (86 Eighty Six),Spring 2021,2021,Opening Theme,3-pun 29-byou (3分29秒),hitorie,https://open.spotify.com/track/04rQMy0kPLdMyIeK5oyg1g,,Downloaded
43,86 (86 Eighty Six),Spring 2021,2021,Ending Theme,3-pun 29-byou (3分29秒),hitorie,https://open.spotify.com/track/04rQMy0kPLdMyIeK5oyg1g,,Downloaded
44,86 (86 Eighty Six),Spring 2021,2021,Ending Theme,Avid,SawanoHiroyuki[nZk]_mizuki,https://open.spotify.com/track/2zWT0EPiVzC7MH7yggiK5Y,,Downloaded
45,86 (86 Eighty Six),Spring 2021,2021,Ending Theme,Hands Up to the Sky,SawanoHiroyuki[nZk]_Laco,https://open.spotify.com/track/7kiWVIA95A2H7TMYSrA0b5,,Downloaded
46,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Opening Theme,Kyoukaisen (境界線),amazarashi,https://open.spotify.com/track/48JYYEXKNZdXuDdZvkRvaQ,,Downloaded
47,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,LilaS,SawanoHiroyuki[nZk]_Honoka Takahashi,https://www.youtube.com/watch?v=dfOsUNxc2Xg,SawanoHiroyuki[nZk]:Honoka Takahashi『LilaS』×TVアニメ「８６―エイティシックス―」Collaboration Movie,
48,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,Kyoukaisen (境界線),amazarashi,https://open.spotify.com/track/48JYYEXKNZdXuDdZvkRvaQ,,Downloaded
49,86 Part 2 (86 Eighty-Six Part 2),Fall 2021,2021,Ending Theme,Alchemilla (アルケミラ),Regal Lily,https://open.spotify.com/track/1QBkrW9kGVFGHd1eS2Hsiw,,Downloaded
50,Accel World,Spring 2012,2012,Opening Theme,Chase the world,May'n ,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,,Downloaded
51,Accel World,Spring 2012,2012,Opening Theme,Burst The Gravity,ALTIMA ,https://open.spotify.com/track/3NwZiUT9Lszf0IczocMJYW,,Downloaded
52,Accel World,Spring 2012,2012,Ending Theme,Chase the world,May'n ,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,,Downloaded
53,Accel World,Spring 2012,2012,Ending Theme,→unfinished→,KOTOKO ,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,,Downloaded
54,Accel World,Spring 2012,2012,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,,Downloaded
55,Accel World EX,,1900,Opening Theme,Chase the world,May'n,https://open.spotify.com/track/1xAjcHiQRXrrduJeoYRXLG,,Downloaded
56,Accel World EX,,1900,Opening Theme,Burst The Gravity,ALTIMA,https://open.spotify.com/track/3NwZiUT9Lszf0IczocMJYW,,Downloaded
57,Accel World EX,,1900,Ending Theme,→unfinished→,KOTOKO,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,,Downloaded
58,Accel World EX,,1900,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,,Downloaded
59,Accel World_ Acchel World.,,1900,Ending Theme,→unfinished→,KOTOKO,https://open.spotify.com/track/6KU3PYrgp5v5J8nI4FDks8,,Downloaded
60,Accel World_ Acchel World.,,1900,Ending Theme,Unite (ユナイト),Sachika Misawa,https://open.spotify.com/track/2bVBz0uRaApgt8o2GNNc6E,,Downloaded
61,Accel World_ Infinite∞Burst,,1900,Ending Theme,PLASMIC FIRE,KOTOKO × ALTIMA,https://open.spotify.com/track/7meId5OHVJOYOaX8gSFUQh,,Downloaded
62,Adachi to Shimamura (Adachi and Shimamura),Fall 2020,2020,Opening Theme,Kimi ni Aeta Hi (君に会えた日),Adachi (Akari Kitou) & Shimamura (Miku Itou),https://open.spotify.com/track/7IF6RrCW5z0U4WxLu8BFFG,,Downloaded
63,Adachi to Shimamura (Adachi and Shimamura),Fall 2020,2020,Ending Theme,Kimi no Tonari de (キミのとなりで),Akari Kitou,https://open.spotify.com/track/1CFuvvD7OzO65MldvBdHEk,,Downloaded
64,Akame ga Kill!,Summer 2014,2014,Opening Theme,Skyreach,Sora Amamiya,https://open.spotify.com/track/427vfPt3SW5ZhtCqwajhaT,,Downloaded
65,Akame ga Kill!,Summer 2014,2014,Opening Theme,LIAR MASK,Rika Mayama,https://open.spotify.com/track/17gqkmWPppwlxIZLxTWzVy,,Downloaded
66,Akame ga Kill!,Summer 2014,2014,Ending Theme,"Konna Sekai, Shiritakunakatta_ (こんな世界、知りたくなかった。)",Miku Sawai,https://open.spotify.com/track/2p2cnsHFijYA3SJoHxDJ33,,Downloaded
67,Akame ga Kill!,Summer 2014,2014,Ending Theme,Tsuki Akari (月灯り),Sora Amamiya,https://open.spotify.com/track/3RARuWwpZZSgEdUzngAxdD,,Downloaded
68,Akanesasu Shoujo (The Girl in Twilight),Fall 2018,2018,Opening Theme,Soranetarium (ソラネタリウム),MICHI,https://open.spotify.com/track/1AACbeN2ZHvLWZM83cc1BY,,Downloaded
69,Akanesasu Shoujo (The Girl in Twilight),Fall 2018,2018,Ending Theme,Kowarekake no Radio (壊れかけのRadio),Ami Wajima,https://open.spotify.com/track/61qPtAAHqzUMBgDe3JhJf3,,Downloaded
70,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Opening Theme,Akatsuki no Yona (暁のヨナ),Kunihiko Ryo,https://open.spotify.com/track/3EyWHf7bkEK2FtkXTjq5bh,,Downloaded
71,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Opening Theme,Akatsuki no Hana (暁の華),Cyntia,https://open.spotify.com/track/540oiI1aRTEd0SOu6VtmXK,,Downloaded
72,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Yoru (夜),vistlip,https://open.spotify.com/track/7dHvtKlOWgaCZriKrSLdd7,,Downloaded
73,Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Akatsuki (暁),Akiko Shikata,https://www.youtube.com/watch?v=anReVsUASYU,Akiko Shikata - Akatsuki full (Romaji & English lyrics) (Akatsuki no Yona Ending 2),
74,Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Egao no Rensa (笑顔の連鎖),Cyntia,https://www.youtube.com/watch?v=WnjwbKlTWj4,Akatsuki no Yona - Ova 1 Ending『Cyntia - Egao no Rensa』,
75,Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Akatsuki (暁),Akiko Shikata,https://www.youtube.com/watch?v=anReVsUASYU,Akiko Shikata - Akatsuki full (Romaji & English lyrics) (Akatsuki no Yona Ending 2),
76,Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Opening Theme,Maid Daikaiten (メイド大回転),the Ton Tokoton staff,https://www.youtube.com/watch?v=l_A-ufGHYvk,メイド大回転,
77,Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Ending Theme,Maid no Komoriuta (冥途の子守唄),Ranko Mannen (CV_ Rina Sato),https://www.youtube.com/watch?v=JlORd1Wmgys,冥途の子守唄,
78,Akira,,1900,Ending Theme,Kaneda,Geinoh Yamashiro-gumi,https://www.youtube.com/watch?v=HB6Ch_VAfIk,"AKIRA soundtrack - Geinoh Yamashirogumi - ""Kaneda""",
79,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな),https://www.youtube.com/watch?v=t3Xvy8tGyRc,大島はるな『恋のバルーン』Music Video,
80,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,We☆Pace!!,Haruna Ooshima feat_ Ebisu coffret (大島はるな feat_恵比寿coffret),https://www.youtube.com/watch?v=qdfBjYmG9a0,Akkun to Kanojo Opening 2: We☆Pace!! - Haruna Oshima / 大島はるな,
81,Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Ending Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな),https://www.youtube.com/watch?v=t3Xvy8tGyRc,大島はるな『恋のバルーン』Music Video,
82,Akudama Drive,Fall 2020,2020,Opening Theme,STEAL!!,SPARK!!SOUND!!SHOW!!,https://open.spotify.com/track/1b7FQMI6JkithQfYddXOuA,,Downloaded
